id,name,text,trans
4001077060010,甘奈,近くのお店も全部混んでたね～……,附近的店都好挤啊……
4001077060020,甜花,あぅ……\nあとちょっと、なのに……,啊……\n还差一点点……
4001077060030,千雪,ね、少しやり方を変えてみてもいい？,那个，可以稍微改变一下方式吗？
4001077060031,甘奈＆甜花,……？,……？
4001077060040,千雪,話し合いじゃなくて、\nお散歩で答えを探すの、どうかな？,不是讨论，而是\n通过散步来寻找答案，怎么样？
4001077060050,千雪,リラックスした気分で考えたら,放松心情去思考的话
4001077060060,千雪,ポンって、いいアイディアが出てきたりすること\nあったりしない？,有时候会突然蹦出好点子\n不是吗？
4001077060070,甘奈,ある！　お風呂でシャワー浴びてる時に\n閃いたりするもんね！,有的！ 洗澡的时候淋浴时\n也会突然想到！
4001077060080,甜花,わかる……寝る前とか……\nなんか、そういうの……ある……！,我懂……睡前什么的……\n有时候，就会有这种感觉……！
4001077060090,千雪,ふふっ\nそれじゃあ、決まり♪,呵呵\n那就这么决定吧♪
4001077060100,千雪,私はこういう時、目的地を決めないで\n散策することが多いんだけど,这种时候，我通常不会设定目的地\n随便走走
4001077060110,千雪,どこか、行きたいところがあったら\nお互いに提案していこっか,如果你们有想去的地方\n我们可以互相提议
4001077060120,甘奈,あ、じゃあ早速いい？,啊，那我可以先说吗？
4001077060130,甜花,……？,……？
4001077060140,甘奈,街が見下ろせる、高ーい場所に行きたい！,我想去一个能俯瞰城市的高处！
4001077060150,甘奈,綺麗な景色を見たら、気分が良くなって\n良いアイディアが浮かぶかも、って思ったの！,看美丽的景色，心情会变好\n可能会想到好主意！
4001077060160,千雪,いいと思う\nじゃあ、まずはそこに行こっか,我觉得不错\n那我们就先去那里吧
4001077060170,甘奈,わ～……！\nいい景色～,哇～……！\n好美的景色～
4001077060180,千雪,ここならいい考えが思いつきそうだね,在这里应该能想到好点子
4001077060190,甜花,ここ……,这里……
4001077060200,甜花,前、なーちゃんから……\n大切なお話、聞いた場所……似てる……,以前……\n是从甘奈那里听到重要事情的地方……很像……
4001077060210,甘奈,……！\nそうだね～！,……！\n是啊～！
4001077060220,千雪,そのお話って、\nふたりの秘密だったり……する……？,那个事情是\n你们的秘密……吗？
4001077060230,甘奈,あ……！　全然、そういうのじゃないから\n聞いちゃって大丈夫だよ！,啊……！ 完全不是那种事\n听没关系的！
4001077060240,甘奈,甜花ちゃんも、平気だよね……？,甜花酱，你也没问题吧……？
4001077060250,甜花,うん……\nなーちゃんが、よかったら……,嗯……\n如果甘奈觉得可以的话……
4001077060260,甘奈,えへへ、ありがとっ,嘿嘿，谢谢你
4001077060270,甘奈,甘奈が出張ロケに行った時……,甘奈出差拍摄的时候……
4001077060280,甘奈,甜花ちゃんとお話する時間が減っちゃって\n寂しいって相談をしたこと、覚えてるかな？,和甜花酱聊天的时间减少了\n所以很寂寞，你记得我跟你说过吗？
4001077060290,千雪,うん、もちろん,嗯，当然记得
4001077060300,甘奈,あの時、千雪さん,那时候，千雪姐
4001077060310,甘奈,わがままになって、寂しい気持ちを伝えていいって\n言って、甘奈の背中を押してくれたよね,你说可以任性一点，把寂寞的心情说出来\n你帮我打了气
4001077060320,甘奈,その気持ちを、甜花ちゃんに伝えた場所が\nここに似てるところだったんだ,我把那个心情告诉甜花酱的地方\n和这里很像
4001077060330,千雪,そうだったんだ……,原来如此……
4001077060340,千雪,ありがとう\n教えてくれて、嬉しいな,谢谢你\n告诉我这些，我很高兴
4001077060350,甘奈,『好きはわがまま』\nすっごく素敵な考え方だなって思ってるの,“喜欢是任性”\n我觉得这是一个很棒的想法
4001077060360,甘奈,……千雪さん、\nこの言葉、今回も使っていいかな？,……千雪姐，\n这句话这次也能用吗？
4001077060370,千雪,……\nもちろん,……\n当然可以
4001077060380,甘奈,甘奈ね、ファンのみんなが好きな\nアルストロメリアって,甘奈觉得，大家喜欢的\nAlstroemeria
4001077060390,甘奈,３人が一緒の方向を向いて\n頑張る甘奈たちなんじゃないか、って思うんだ,就是三个人朝同一个方向\n努力的我们
0000000000000,off,『それに、３人とも頑張り屋だから、\nこっからもっと面白くなるのは確実だし』,“而且，三个人都很努力，\n所以以后一定会更有趣”
0000000000000,off,『今つまらんとか言ってる人ら\nここからだから見てろよ』,“现在说无聊的人\n从现在开始看吧”
4001077060400,甜花,……！,……！
4001077060410,甘奈,クライアントさんの力を借りたり\nコラボをしたら、きっと、面白くなるとは思うの,借助客户的力量或者\n合作的话，我觉得会变得有趣
4001077060420,甘奈,でも、プロデューサーさんが言ってくれた通り\nファンのみんなは、なんか違うって、感じちゃうかも,但是，正如制作人说的\n粉丝们可能会觉得有点不对
4001077060430,甘奈,だから、３人だけで一生懸命考えて、\nめっちゃ面白い配信をして……,所以，三个人必须尽力想出\n非常有趣的直播……
4001077060440,甘奈,ファンのみんな、\n新しく知ってくれた視聴者さん……,让所有粉丝，\n新认识我们的观众……
4001077060450,甘奈,両方からいいねって\n言ってもらうのが、一番いいって、思うんだ,都说好，这才是最好的
4001077060460,甘奈,……わがままなんだけど、ファンのみんなが\nそして甘奈たちが好きなアルストロメリアでいるために,……虽然有点任性，但为了保持我们和\n粉丝们都喜欢的Alstroemeria
4001077060470,甘奈,今回は、やっぱり甘奈たちだけで\n企画をやり遂げるっていうところは、曲げたくない！,这次，我们要坚持\n由我们三个人完成这个企划！
4001077060480,甜花,甜花も……！,甜花也……！
4001077060490,甜花,アルストロメリアは、やればできるって……\nファンの人も、SNSで……言ってた……,Alstroemeria，做得到……\n粉丝们在SNS上也说过……
4001077060500,甜花,だから……\n３人で、頑張りたい……！,所以……\n我们三个一起努力吧……！
4001077060510,千雪,それに、クライアントさんにだって,而且，就算是客户也会希望
4001077060520,千雪,アルストロメリアは逆境に立たされても\n強いんだ、って思ってもらいたいもんね,看到阿尔斯特洛美亚在逆境中也能坚强吧
4001077060530,千雪,私も大賛成,我也完全同意
4001077060540,甘奈,……それじゃ、今回のひとつめの『らしさ』は\n『３人でやり遂げること』に決定！,……那么，这次的第一个“特质”就是\n“三个人一起完成”！
4001077060550,甜花,にへへ……なんか……\nRPGみたいで、いいね……,嘿嘿……感觉就像……\nRPG一样，好棒……
4001077060560,甘奈,そうなの？,是吗？
4001077060570,甜花,うん……！,嗯……！
4001077060580,甜花,先に進めないって、なっても……,就算前进不了……
4001077060590,甜花,今までの、ステージとか……\n戻ったりすると、ヒント……ある……,回到之前的舞台……\n会有提示……
4001077060600,甜花,今も、なーちゃんと甜花の……\n思い出があるとこと似た場所、きたから……,现在也是，和奈奈的甜花……\n来到类似有回忆的地方……
4001077060610,甜花,答え、見つかった……！,找到答案了……！
4001077060620,千雪,……思い出のあるところ……\n……それなら,……有回忆的地方……\n……那样的话
4001077060630,千雪,ね、ふたりとも\n次は私が行きたい所、付き合ってもらってもいいかな？,喂，你们两个\n接下来能陪我去一个地方吗？
4001077060631,甘奈＆甜花,もちろん！,当然！
4001077060640,千雪,……到着,……到了
4001077060650,甘奈,……千雪さん\nここ、すっごく『らしい』場所、だね,……千雪姐\n这里真是一个很“特别”的地方啊
4001077060660,甜花,うん……\n初めて、３人で分けっこ……した……,嗯……\n我们三个人第一次……分享……
4001077060670,甘奈,……えへへ、ふたりとも……\n……せーの！,……嘿嘿，大家……\n……准备好了吗！
