id,name,text,trans
0000000000000,プロデューサー,みんな、この前はパーティー、お疲れ様,大家，上次的派对辛苦了！
4001082030010,愛依,全然疲れてないし！\nちょー楽しかったから、また行きたい～！,一点都不累！\n超级开心的，还想再去呢～！
4001082030020,あさひ,そっすね\n美味しいごはん、いっぱいあったっす,是啊\n有很多好吃的呢
4001082030030,愛依,ハンパないメニューばっかりだったよね～！\nお肉のなんとかソース、なんとか添え～、みたいなの！,全都是超厉害的菜单呢～！\n像是那个什么酱的肉，还有什么配菜～之类的！
4001082030040,冬優子,肉ってこと以外何もわからないんだけど,除了肉以外完全不知道是什么
4001082030050,愛依,アハハ～,啊哈哈～
4001082030060,冬優子,あのレベルのパーティーに\nしょっちゅう出たいって言うなら,如果你们想经常参加那种级别的派对的话
4001082030070,冬優子,今回みたいな仕事を\n継続してもらえるようにならなきゃね,就得像这次一样，继续接到这样的工作才行呢
0000000000000,プロデューサー,それじゃ、その助けになるかもしれない\n仕事の話を始めてもいいか？,那么，我可以说说可能会对你们有帮助的工作吗？
4001082030071,一同,はいっす,好的！
0000000000000,プロデューサー,今回、みんなにやってもらいたい仕事は\n合計で３つほどあるんだ,这次，想让大家做的工作总共有三个
4001082030080,あさひ,３つも……,三个啊……
0000000000000,プロデューサー,ああ、パーティーの場で\n色々と話をもらえてな,是啊，在派对上谈了不少
0000000000000,プロデューサー,まず、ひとつめ\nこれは、冬優子と愛依への依頼になっている,首先，第一个\n这是给冬优子和爱依的委托
0000000000000,プロデューサー,内容は、トークバラエティへの出演\n地上波での放送だ,内容是参加一个谈话综艺节目\n会在全国电视台播出
4001082030090,愛依,お、すごい！,哦，好厉害！
0000000000000,プロデューサー,ああ、出演者の数も少ないから、\n確実にトークを振られる回数も多いはずだ、頼んだぞ,是啊，出演人数不多，所以你们肯定会有很多发言机会，拜托了
4001082030100,冬優子,ええ,好的
0000000000000,プロデューサー,ふたつめは、あさひへの依頼\n司会者さんと１対１で会話をする番組だ,第二个是给朝日的委托\n是一个和主持人一对一对话的节目
4001082030110,あさひ,ふんふん,嗯嗯
0000000000000,プロデューサー,ジュニアウィークを企画してるって話でな,是关于策划Junior Week的话题
0000000000000,プロデューサー,あさひくらいの年の有名な子を\n日替わりで呼びたいそうなんだ,他们想每天邀请像朝日这样年纪的知名孩子来参加
4001082030120,あさひ,なるほど、わかったっす,原来如此，明白了
0000000000000,プロデューサー,ふたりの収録と同日だから\n俺はあさひの方に同行するよ,和她们两个的录制是同一天，所以我会跟朝日一起去
0000000000000,プロデューサー,そして最後、これはストレイライトへの依頼,然后最后一个，这是给Straylight的委托
0000000000000,プロデューサー,さっきのふたつと違って、少し先の予定になるが\n合同ライブへの出演オファーだ,和刚才的两个不同，时间稍微靠后一些\n是参加联合演唱会的邀请
4001082030121,一同,おー！,哦～！
0000000000000,プロデューサー,一緒に出演するユニットは、実力派ばかりだが、\n今のみんななら、その中でも存分にやれると思う,一起出演的组合都是实力派，但以你们现在的水平，我相信你们也能在其中大放异彩
0000000000000,プロデューサー,活躍、期待してるぞ！,期待你们的表现！
4001082030130,愛依,……,……
4001082030140,愛依,あのさ～、冬優子ちゃん！\nお腹空かない？,那个～冬优子！\n你饿不饿？
4001082030150,愛依,よかったらこのあと\n一緒に食べていこうよ！,如果可以的话，待会儿一起去吃饭吧！
