id,name,text,trans
3010022010010,智代子,西側の階段を──\n３階分のぼって……廊下に出たら左……っ,从西侧的楼梯——\n往上爬三层……出了走廊往左……
3010022010020,智代子,──あった、あそこだ……！\nカメラは……？！,——找到了，就是那里……！\n摄像机呢……？！
3010022010030,智代子,これか……！　んんっ,是这个吧……！嗯嗯！
3010022010040,智代子,みなさんこんにちは！　放課後クライマックスガールズ、\nチョコアイドルの園田智代子です！,大家好！我是放学后Climax Girls的\n巧克力偶像园田智代子！
3010022010050,智代子,無事、指定の部屋に着きましたので、\nドアにタッチして帰りたいと思い──,我已经顺利到达指定的房间了，\n所以我想触摸门然后回去——
0000000000000,部屋から聞こえる声,──なんで……！？\nなんで結果が出せないの……！,——为什么……！？\n为什么我拿不出结果……！
3010022010060,智代子,……！？,……！？
0000000000000,部屋から聞こえる声,思いつかない思いつかない思いつかない……！\n何も出ない……！,想不出来想不出来想不出来……！\n什么都想不出来……！
0000000000000,部屋から聞こえる声,ひっ……、ぐすっ……,呜……、抽泣……
0000000000000,部屋から聞こえる声,あーーーーーー…………,啊————…………
3010022010070,智代子,どうも！\n放課後クライマックスガールズ、チョコアイドルの──,大家好！\n我是放学后Climax Girls的巧克力偶像——
3010022010080,智代子,──いえ！\n放課後クライマックスガールズ、チョコアイドルかつ！,——不对！\n我是放学后Climax Girls的巧克力偶像兼！
0000000000000,芸人たち,かつ,兼
3010022010090,智代子,クライマックス大貧民の園田智代子です！,Climax大贫民的园田智代子！
3010022010091,一同,いえーい！,耶——！
0000000000000,芸人たち,いや多いな要素が！,要素也太多了吧！
3010022010100,智代子,その盛り盛りの要素を背負わせたのはみなさんですよ……,这些丰富的要素都是大家赋予我的……
0000000000000,芸人（ツッコミ）,いや俺らのせいみたいに言わないで……？\nチョコちゃんが負けたんだから,别说得好像是我们害的一样……？\n是巧克力酱自己输的嘛
0000000000000,芸人（ボケ）,もっと言うと最後は放クラで押しつけあってたしね,而且最后还是在放课后互相推卸责任呢
3010022010110,智代子,ひーん,呜——
0000000000000,天の声,どうでしょう園田さん\n屈辱の王冠とマントが贈られたわけですが──,怎么样，园田小姐\n虽然被授予了屈辱的王冠和披风——
3010022010120,智代子,はい！\n次回、絶対誰かに押しつけたいと思います！,是的！\n下次我一定要把它推给别人！
3010022010130,智代子,お疲れ様です、お待たせしました……！,辛苦了，让大家久等了……！
0000000000000,プロデューサー,お疲れ様\n悪いな、休憩中に来てもらって,辛苦了\n抱歉，让你在休息时间过来
3010022010140,智代子,いえ！\nそれは全然！,没事！\n完全没关系！
3010022010150,智代子,あのー……\nプロデューサーさん、つかぬことをお伺いするんですが……,那个……\n制作人先生，我有个问题想冒昧地问一下……
3010022010160,樹里,今日結構新しい言い回し？　っつーのか……？\n試してたけど,今天试了很多新的表达方式？\n不过我不讨厌哦……！
3010022010170,樹里,アタシは、嫌いじゃないからな……！,我可不讨厌哦……！
3010022010180,智代子,……私、変になっちゃってませんでしたか……！？\n樹里ちゃんに心配かけちゃって、気まずくって……！,……我是不是变得很奇怪了……！？\n让树里担心了，感觉好尴尬……！
0000000000000,プロデューサー,大丈夫だと思うよ,我觉得没问题
0000000000000,プロデューサー,声をかけてくれたのは樹里の優しさでさ、\n何か疑ってるとかではなさそうに見えたし,树里主动关心你是因为她的温柔，\n看起来不像是怀疑你什么
3010022010190,智代子,そうですか……！\nよかったぁ……！,是吗……！\n太好了……！
0000000000000,プロデューサー,……それですまん、智代子\nその件とも関わるんだけど──,……抱歉，智代子\n这件事也与此有关——
3010022010200,智代子,？,？
0000000000000,プロデューサー,智代子がお題で機材室まで行ったところ──\nまるまるカットさせてもらえないかって言われてるんだ,智代子按照任务去了器材室——\n结果被要求能不能把这段完全剪掉。
3010022010210,智代子,！,！
3010022010220,智代子,（どうしよう──！\nここが撮影に使われるって知らないんだ……！）,（怎么办——！\n他们不知道这里会被用来拍摄……！）
3010022010230,智代子,（私に聞こえてるってことはカメラも音拾ってるはず……\n泣いてるところなんて絶対撮られたくないよね……！？）,（既然我能听到，那摄像机肯定也录到了声音……\n绝对不想被拍到哭的样子吧……！？）
3010022010240,智代子,（どうやって伝えたら──）,（该怎么传达呢——）
0000000000000,スタッフ,え──,诶——
3010022010250,智代子,あ……！,啊……！
3010022010260,智代子,すみません！　撮影で、この部屋まで行って戻ってくるよう\n指示をもらっていまして──！,不好意思！我接到指示说拍摄时要到这个房间然后回来——！
0000000000000,スタッフ,そっ、そうだったんですね──\n知らずにすみません、すぐ出ますから──！,这、这样啊——\n不好意思，我马上出去——！
3010022010270,智代子,！\nあのっ、落としましたよ──！,！\n那个，您掉了东西——！
0000000000000,プロデューサー,スタッフさんと鉢合わせちゃったところ、\n上手くカットするのが難しいみたいで……,和工作人员撞上的那段，\n好像很难巧妙地剪掉……
3010022010280,智代子,わかりました！\nむしろよかったです……！,我明白了！\n反而觉得这样挺好的……！
3010022010290,智代子,ああいうところ……\n番組に出ちゃうの、嫌だと思いますし,那种地方……\n我觉得出现在节目里会让人不舒服。
3010022010300,智代子,私もびっくりしてドアにタッチするの忘れちゃいましたし！\nクリア状況が変わるわけじゃないですから！,我也吓了一跳，都忘了去碰门了！\n反正也不会影响通关情况！
0000000000000,プロデューサー,……ごめんな,……抱歉
3010022010310,智代子,いえ……！,没事……！
3010022010320,智代子,……それで、その。プロデューサーさん,……那个，制作人先生
3010022010330,智代子,……社員証をお返ししたいんです\n代わりに、行っていただけませんか……？,……我想把员工证还给您\n能请您代替我去一趟吗……？
3010022010340,智代子,私が行くと思い出させる感じになっちゃいそうで……！,我去的话可能会让人想起刚才的事……！
0000000000000,プロデューサー,もちろん\n預かるよ,当然\n我来保管吧
3010022010350,智代子,ありがとうございます……！,谢谢您……！
3010022010360,智代子,それと……\n……お節介かどうか、ご意見を伺いたいんですが──,还有……\n……不知道是不是多管闲事，想听听您的意见——
0000000000000,プロデューサー,すみません────！,不好意思————！
0000000000000,スタッフ,はい──？,诶——？
0000000000000,プロデューサー,恐れ入ります、２８３プロダクションの者です\nこちらを預かっていて……！,打扰了，我是283事务所的\n这个交给您……！
0000000000000,スタッフ,うわっ、社員証……！？\n落としてたんだ、ありがとうございます──,哇，员工证……！？\n原来是掉了，谢谢您——
0000000000000,プロデューサー,いえ……！\n……それから、これも,不客气……！\n……还有，这个也给您
0000000000000,スタッフ,……？　え──チョコ？,……？诶——巧克力？
0000000000000,プロデューサー,預けた人間からは、\n『美味しいので！』とだけ聞いています,交给我的那个人只说，\n『因为很好吃！』
0000000000000,スタッフ,え、と──？,诶，那个——？
0000000000000,プロデューサー,差し出がましいかもしれないんですが……,可能有点冒昧……
0000000000000,プロデューサー,少しでもあなたの元気に繋がったら、\nと思ったんだと思います,我想她大概是希望，\n能稍微让您振作起来吧。
0000000000000,スタッフ,…………！,…………！
info,produce_events/301002201.json,,
译者,deepseek-chat,,
