id,name,text,trans
0000000000000,プロデューサー,（あー……！　焦ったぁ……！）,（啊……！真是急死我了……！）
0000000000000,プロデューサー,（スマホの故障が一番困るよなぁ……！\n……まぁでも、代わりは用意できたし……）,（手机坏了最麻烦了……！\n……不过，已经准备好替代的了……）
0000000000000,プロデューサー,（修理期間中は番号変わるって連絡して──\n……、夏葉に電話するって約束もあったから──）,（修理期间号码会变，已经通知了——\n……而且，还答应了要给夏叶打电话——）
0000000000000,プロデューサー,……,……
0000000000000,プロデューサー,（夏葉──……どんな反応するかな）,（夏叶——……她会有什么反应呢）
2013018010010,夏葉,──はい,——喂
0000000000000,プロデューサー,『もしもし夏葉？\nお疲れ様、今時間って大丈夫か？』,『喂，夏叶？\n辛苦了，现在有时间吗？』
0000000000000,プロデューサー,『俺なんだけど──』,『是我——』
2013018010020,夏葉,……！,……！
2013018010030,夏葉,……──プロデューサー？,……——制作人？
0000000000000,プロデューサー,『ああ！』,『对！』
2013018010040,夏葉,お疲れ様,辛苦了
2013018010050,夏葉,でもどうしたの？\n知らない番号だったから驚いたわ,不过怎么了？\n看到陌生号码吓了一跳呢
0000000000000,プロデューサー,『ちょっとスマホが壊れちゃってさ\n直るまでこの番号を使ってるんだ』,『手机有点坏了\n修好之前先用这个号码』
2013018010060,夏葉,そうなのね,这样啊
2013018010070,夏葉,……それで、なんのご用かしら,……那么，有什么事吗
0000000000000,プロデューサー,『あとで電話するって伝えてた件なんだけど──』,『之前说好要给你打电话的事——』
2013018010080,夏葉,ああそうだったわね\nごめんなさい、うっかりしていたわ,啊，对哦\n抱歉，我一时忘记了
0000000000000,プロデューサー,『いや、いいんだ──』,『没事，没关系——』
0000000000000,プロデューサー,……,……
0000000000000,プロデューサー,（夏葉……\n俺だってこと、全然疑ってないな……）,（夏叶……\n完全没有怀疑是我呢……）
0000000000000,プロデューサー,（今回は本当に俺だったからいいけど、\nもし詐欺なんかに巻き込まれたりしたら──）,（这次真的是我所以还好，\n要是遇到诈骗什么的——）
0000000000000,プロデューサー,……！,……！
0000000000000,プロデューサー,……なぁ、夏葉,……喂，夏叶
2013018010090,夏葉,『何？』,『怎么了？』
0000000000000,プロデューサー,夏葉から『プロデューサー？』って聞いてたけど、\n電話の相手が俺じゃなかったら危ないぞ……？,你刚才问“制作人？”，\n如果电话那头不是我，那不是很危险吗……？
2013018010100,夏葉,『あら！』,『哎呀！』
2013018010110,夏葉,『アナタだってことぐらい、声や話し方でわかるわよ』,『是你的话，听声音和说话方式就知道了呀』
0000000000000,プロデューサー,え……？,诶……？
2013018010120,夏葉,『わざと名乗っていないんだと思ったんだけど、\n違った？』,『我还以为你是故意不报名字呢，\n不是吗？』
0000000000000,プロデューサー,気づいてたのか……！？,你早就知道了……！？
2013018010130,夏葉,『当然じゃない』,『这不是理所当然的吗』
2013018010140,夏葉,『それに、万が一を考えて確認もしたわ』,『而且，为了以防万一，我也确认过了』
0000000000000,プロデューサー,……！,……！
2013018010150,夏葉,『……それで、なんのご用かしら』,『……那么，有什么事吗？』
0000000000000,プロデューサー,あとで電話するって伝えてた件なんだけど──,我之前说过要给你打电话的事情──
2013018010160,夏葉,『ああそうだったわね\nごめんなさい、うっかりしていたわ』,『啊，是这样呢\n抱歉，我一时忘记了』
0000000000000,プロデューサー,ああ～……！\nほんとだ……！,啊～……！\n真的……！
2013018010170,夏葉,『うふふ……！』,『呵呵……！』
2013018010180,夏葉,アナタ、イタズラのつもりだったんでしょう？,你本来是打算恶作剧的吧？
2013018010190,夏葉,なのにお説教だなんて、\nひどいんじゃないかしら？,结果却变成了说教，\n是不是有点过分了？
0000000000000,プロデューサー,『おっしゃる通りです……』,『您说得对……』
2013018010200,夏葉,ふふ……！,呵呵……！
select,,『敵わないな』,『真是拿你没办法』
select,,『すまん夏葉！』,『抱歉夏叶！』
select,,『さすが……』,『果然厉害……』
2013018010210,夏葉,というより、アナタがイタズラに向かないのよ,与其这么说，不如说你不太适合恶作剧呢
0000000000000,プロデューサー,『そうか……！？』,『是吗……！？』
2013018010220,夏葉,ええ\n人柄のよさが声に出ているんだもの,是啊\n你的善良都写在声音里了
2013018010230,夏葉,……ふふ、話がズレてしまったわね\n本題、教えてもらえる？,……呵呵，话题跑偏了呢\n能告诉我正题吗？
0000000000000,プロデューサー,『いや、こちらこそすまん……！　バレンタイン時期の\nファッションビルの広告の話が来ててだな──！』,『不，该说抱歉的是我……！关于情人节期间\n时尚大楼的广告工作，有个消息──！』
0000000000000,プロデューサー,『つい出来心で……！』,『一时兴起就……！』
2013018010240,夏葉,まったく\nやるならもっと上手くやってくれないと,真是的\n要做的话就做得更好一点嘛
0000000000000,プロデューサー,『ははは……！』,『哈哈哈……！』
2013018010250,夏葉,……それで？　本題は？,……那么？正题是？
0000000000000,プロデューサー,『おう……！　バレンタイン時期の\nファッションビルの広告の話が来ていて──』,『哦……！关于情人节期间\n时尚大楼的广告工作──』
0000000000000,プロデューサー,『なんか、俺が心配するなんて\nおこがましいって話だよな……』,『说起来，我担心这种事\n是不是有点不自量力啊……』
2013018010260,夏葉,まぁ、イタズラを仕掛けた本人に\n言われたくはないわよね,嘛，被恶作剧的本人这么说\n确实不太想听呢
2013018010270,夏葉,でも、心配してくれてありがとう,不过，谢谢你的关心
0000000000000,プロデューサー,！,！
2013018010280,夏葉,──さぁ、本題に移りましょう！\nなんの話なの？,──那么，进入正题吧！\n到底是什么事？
0000000000000,プロデューサー,『ああええと、バレンタイン時期の\nファッションビルの広告の仕事が──』,『啊，那个，关于情人节期间\n时尚大楼的广告工作──』
info,produce_events/201301801.json,,
译者,deepseek-chat,,
