id,name,text,trans
2004019010010,恋鐘,うちが好いとる人を、友達も同じように想うとる……？,我觉得我喜欢的人，朋友也会喜欢……？
0000000000000,プロデューサー,ああ。主人公に好意を寄せるヒロインがふたりいて\nそのうちのひとり──だな,嗯。有两个女主角对主角有好感\n其中一个人——
0000000000000,プロデューサー,友人と同じ人を好きになってしまったことから\n心を閉ざしていってしまう女子大生だそうだ,因为和朋友喜欢上了同一个人\n导致她逐渐封闭了自己的内心，听说是个女大学生
0000000000000,プロデューサー,ぜひこの役を恋鐘に、って\nオファーが来てるんだ,所以他们想让恋鐘来演这个角色\n已经发来了邀请
2004019010020,恋鐘,ふぇ……\nヒロイン役～？,诶……\n女主角？
0000000000000,プロデューサー,ああ、\nどうする？,嗯，\n怎么样？
2004019010030,恋鐘,もちろん、引き受けたか！,当然，我接受了！
0000000000000,プロデューサー,はは、そうだよな,哈哈，是啊
2004019010040,恋鐘,ばってん──,太棒了——
0000000000000,プロデューサー,……？\n何か不安なことがあればなんでも言ってくれ,……？\n有什么不安的事情尽管说
2004019010050,恋鐘,不安とは違うとやけど────\n心ば閉ざしていってしまう女子大生……,和不安不太一样——\n逐渐封闭内心的女大学生……
2004019010060,恋鐘,いつものうちとは全然違う役やけん\nちょっとだけびっくりしとる,和我平时的角色完全不一样\n所以有点惊讶
0000000000000,プロデューサー,そうだよな\nでも、俺は恋鐘ならしっかり務められると思ってる,是啊\n不过我觉得恋鐘一定能演好
2004019010070,恋鐘,んふふ～,嗯哼哼～
2004019010080,恋鐘,うちにってオファーされたってことは\nなんかできることのあるはずよね……！,既然邀请了我\n那我一定有什么能演好的地方吧……！
0000000000000,プロデューサー,うん、恋鐘の言う通りだ,嗯，正如恋鐘所说
0000000000000,プロデューサー,ロケ地は地方の温泉旅館で、スケジュールもタイトだけど\n俺もしっかりフォローするからな,外景地在乡下的温泉旅馆，日程也很紧\n我会全力支持你的
2004019010090,恋鐘,ありがとう～\nプロデューサー,谢谢～\n制作人
2004019010100,恋鐘,うち、ば～り頑張るばい～！,我会加油的～！
0000000000000,プロデューサー,ああ、一緒に頑張ろう,嗯，一起努力吧
0000000000000,プロデューサー,恋鐘、お昼は新幹線の中でお弁当でもいいか？,恋鐘，午饭在新干线上吃便当怎么样？
2004019010110,恋鐘,大歓迎ばい～！\n新幹線で駅弁、楽しみやね～,太好了～！\n在新干线上吃车站便当，真期待呢～
0000000000000,プロデューサー,じゃあ、ここで買っていこうか\n恋鐘はどれにする？,那就在这里买吧\n恋鐘想选哪个？
2004019010120,恋鐘,……,……
2004019010130,恋鐘,どれも美味しそう～！\nこいは選ぶと難しか……,看起来都很好吃～！\n真难选啊……
2004019010140,恋鐘,う～ん……こっちもうまかやろうし……\nそっちも食べてみたか気のするし……,嗯～……这个应该很好吃……\n那个也想尝尝……
2004019010150,恋鐘,ん～…………,嗯～…………
2004019010160,恋鐘,うん！　うちはこん季節限定のにするばい～！\nプロデューサーは？,嗯！我选季节限定的那个～！\n制作人呢？
0000000000000,プロデューサー,どれも美味しそうだよな……\n俺は──,看起来都很好吃啊……\n我选——
select,,シュウマイ弁当かな,烧卖便当吧
