id,name,text,trans
2022012030010,小糸,……────よし,……────好
2022012030020,小糸,みんなのお返事\nこれでちゃんと全部、書けたかな……？,大家的回信\n这样都写完了吗……？
2022012030030,小糸,……うん、ちゃんとある……！\n明日、プロデューサーさんに──,……嗯，都在……！\n明天，要交给制作人……
2022012030040,小糸,あ……もう\nとっくに、今日になっちゃってた……,啊……已经\n早就到今天了……
0000000000000,プロデューサー,……でも、やっぱりさ,……不过，果然
0000000000000,プロデューサー,さすがにこれだけの数\n毎回返事を書くってなると……,这么多数量\n每次都要写回信的话……
2022012030050,小糸,……しっかりしなくちゃ,……要认真起来
2022012030060,小糸,無理してるって、思われないように……,不能让人觉得我在勉强……
2022012030070,小糸,……,……
2022012030080,小糸,（ファンレターで、届けられた言葉は）,（通过粉丝信传达过来的话）
2022012030090,小糸,（いろんな気持ちと\n考え方を伝えてくれて）,（传达了各种各样的心情和想法）
2022012030100,小糸,（行き場のないSOSを\nわたしに宛ててくれた人も）,（也有把无处可去的SOS\n寄给我的人）
2022012030110,小糸,（わたしと同じ……ううん\nわたしより、もしかしたらずっといっぱい）,（和我一样……不，或许比我更多）
2022012030120,小糸,（本当に、いろんな想いを抱えながら\n応援してくれてるんだ）,（真的，怀着各种各样的想法\n在支持我）
2022012030130,小糸,……わたしは、アイドルとして……みんなに……\n何ができるんだろ……,……作为偶像的我……对大家……\n能做些什么呢……
2022012030140,小糸,（寄り添うって\nどうしたらいいのかな）,（应该如何去陪伴他们呢）
2022012030150,小糸,……『窓をあけて』────────,……『打开窗户』────────
2022012030160,小糸,……────────,……────────
2022012030170,小糸,……ここからだと\n月と惑星くらいしか、よく見えない……,……从这里\n只能看见月亮和行星……
2022012030180,off,わたしが、みんなを導くには,为了引导大家
2022012030190,off,あのくらい\n大きい光にならなくちゃ、だめだよね……,必须像那样\n成为巨大的光……
2022012030200,off,……遠いな,……好远啊
0000000000000,プロデューサー,ファンミーティングのプロモーション撮影なんかが\nこれからいろいろ入ってくるけど……,粉丝见面会的宣传拍摄等\n接下来会有很多安排……
0000000000000,プロデューサー,今のところわかってるスケジュールは\n確定させても問題ないか？,目前的日程\n确定下来没问题吧？
2022012030210,小糸,は、はい,是、是的
2022012030220,小糸,……あ、あの……,……那、那个……
select,,やっぱり問題が？,果然有问题吗？
select,,どうした？,怎么了？
select,,おう,嗯
2022012030230,小糸,い、いえ……そうじゃなくて……\n……,不、不……不是这样……\n……
2022012030240,小糸,まだ\n間に合えば……なんですけど……,如果\n还来得及的话……
0000000000000,プロデューサー,……！\nああ、言ってごらん,……！\n啊，有什么想说的
2022012030250,小糸,……だ、だめだったら\nちゃんと言ってくださいね……！,……如果不行的话\n请一定告诉我……！
2022012030260,小糸,そ、その……プロモーション……\nファンのみんなに、わたしから……,那、那个……宣传……\n我想对粉丝们……
2022012030270,小糸,……やってみたいことがあるんです,……有些想尝试的事情
2022012030290,小糸,そ、その……\nプロモーション……,那、那个……\n宣传……
2022012030300,小糸,まだ、間に合えばなんですけど\nファンのみんなに、わたしから……,如果还来得及的话\n我想对粉丝们……
2022012030310,小糸,やってみたいことが、あるんです……,有些想尝试的事情……
0000000000000,プロデューサー,……！\nそうか、そういうことならなんとかするよ,……！\n这样啊，那我会想办法的
2022012030320,小糸,……ほ、本当ですか……！？,……真、真的吗……！？
0000000000000,プロデューサー,ああ、もちろん\n小糸と、ファンのみんなのためなら,嗯，当然\n为了小糸和粉丝们
0000000000000,プロデューサー,俺ができることはなんでもするよ,我会尽力去做
2022012030330,小糸,ありがとうございます……！,谢谢您……！
0000000000000,プロデューサー,……それで、やってみたいことっていうのは？,……那么，你想尝试的事情是什么？
2022012030340,小糸,はい,好的
2022012030360,小糸,……,……
2022012030370,小糸,スケジュールって、\nまだ余裕……ありますか……？,日程上，\n还有余裕吗……？
0000000000000,プロデューサー,ん？\nああ、大丈夫だよ,嗯？\n啊，没问题
2022012030380,小糸,わ、わたしから……\nファンのみんなに向けて……！,我、我想……\n对粉丝们……
2022012030390,小糸,プロモーションで、やってみたいことが\nあるんですけど……！,在宣传中，有些想尝试的事情\n……
0000000000000,プロデューサー,うん\n聞かせてくれ,嗯\n说来听听
info,produce_events/202201203.json,,
译者,gpt-4o-2024-05-13,,
