id,name,text,trans
0000000000000,off,ハッピーハロウィンという\nメッセージが添えられたお菓子────,附带有“万圣节快乐”信息的\n糖果────
0000000000000,off,それは見た目はそっくりだが、 \nどちらかが『超すっぱい』ふたつのプチケーキだった,那是外观相似，但其中一个是“超级酸”的两个小蛋糕
4901025280010,はるき,ふふ～、どっちにしようかなぁ～,呵呵～，选哪个呢～
0000000000000,プロデューサー,おっ、はるき\nノリがいいな,哦，阳希\n挺有兴致的嘛
4901025280020,はるき,人生は楽しんだほうが勝ちですからねぇ～,因为人生还是享受比较好嘛～
0000000000000,プロデューサー,いい心がけだな\nよし、じゃあ────,好想法\n好，那────
select,,左を食べる,吃左边的
select,,右を食べる,吃右边的
0000000000000,プロデューサー,これは……………\nすっぱ……くない……！！,这……………\n不酸……！！
4901025280030,はるき,んー……！\n……………！,嗯……！\n……………！
4901025280040,はるき,…………はぁっ！,…………哈！
0000000000000,プロデューサー,大丈夫か！？,没事吧！？
4901025280050,はるき,ふふ……！　すごい、どうやったら\nこんなすっぱいケーキになるんでしょう……！,呵呵……！ 真厉害，这么酸的蛋糕\n是怎么做出来的……！
4901025280060,はるき,うふふふふふ……！,呵呵呵呵呵……！
0000000000000,プロデューサー,ははっ、楽しそうだな,哈哈，看起来很开心嘛
4901025280070,はるき,うんっ、甘くて美味しい……\nと、いうことは──,嗯，甜的很好吃……\n也就是说──
0000000000000,プロデューサー,……！　んー…………！！,……！ 嗯……！！
4901025280080,はるき,プロデューサーさん……！　大変……！\n早く、お茶で流し込んで……！,制作人……！ 糟了……！\n快，用茶水送下去……！
4901025280090,はるき,………………\n相当、強烈みたいですねぇ……,………………\n看来真的很强烈呢……
0000000000000,プロデューサー,はは、ツーンと来たぞ……！,哈哈，真是刺激啊……！
0000000000000,プロデューサー,ありがとう、もう大丈夫だ\nはるきの勝ち、かな？,谢谢，已经没事了\n阳希赢了吧？
4901025280100,はるき,ふふっ……普段見られないプロデューサーさんの反応\n見られましたからねぇ……！,呵呵……看到平时看不到的制作人反应\n真是值得呢……！
info,mypage_communications/490102528.json,,
译者,gpt-4o-2024-05-13,,
