id,name,text,trans
0000000000000,女優,若輩者ですが、この映画に全力を尽くします\nよろしくお願いします,虽然我还是个新手，但我会为这部电影全力以赴\n请多多关照
0000000000000,スタッフ,では、次は月岡さんお願いします,那么，接下来请月冈小姐
2004019020010,恋鐘,はっ、はい！,啊，是！
2004019020020,恋鐘,みなさんの足ば引っ張らんよう、\nしっかり頑張りますので、よろしくお願いいたします！,我不会拖大家的后腿的，\n我会好好努力的，请多多关照！
0000000000000,監督,────月岡さん\n改めて、急な話だったのに、引き受けてくれてありがとう,——月冈小姐\n再次感谢你，在这么突然的情况下接受了邀请
2004019020030,恋鐘,ふぇ……監督、お疲れ様です！\nこちらこそありがとうございます～,诶……导演，您辛苦了！\n我这边才是，非常感谢～
0000000000000,監督,ふふ……あなたはとても明るいけど、\n繊細さも秘めた方だと思っています。期待していますよ,呵呵……你虽然非常开朗，\n但也隐藏着细腻的一面。我很期待你哦
2004019020040,恋鐘,はい！　頑張ります,是！我会努力的
0000000000000,女優,…………,…………
0000000000000,プロデューサー,（……あれ？\nあの人すごく恋鐘の方を見ているような……）,（……咦？\n那个人好像一直在看着恋鐘……）
0000000000000,女優,…………,…………
0000000000000,女優,あ……お疲れ様です,啊……您辛苦了
0000000000000,プロデューサー,お疲れ様です\n今日からよろしくお願いいたします,您辛苦了\n从今天起请多多关照
0000000000000,女優,……はい,……是
0000000000000,プロデューサー,（……気のせいだったかな）,（……是我想多了吗）
0000000000000,プロデューサー,恋鐘の出番は次のシーンだから\nここで待機していよう,恋鐘的出场在下一个场景，\n先在这里待机吧
2004019020050,恋鐘,了解～,明白～
0000000000000,プロデューサー,飲み物でも買ってこようか？,要不要我去买些饮料？
2004019020060,恋鐘,ううん、大丈夫～,不用了，我没事～
2004019020070,恋鐘,あっ──,啊——
0000000000000,女優,……,……
2004019020080,恋鐘,お疲れ様です！　\n今日から共演、よろしくお願いします～,您辛苦了！\n从今天开始一起合作，请多多关照～
0000000000000,女優,……,……
2004019020090,恋鐘,えっと……────,那个……——
0000000000000,女優,申し訳ないけど、私はあなたが苦手なの\nだから撮影の時以外、話しかけないで,抱歉，但我不是很喜欢你\n所以除了拍摄的时候，请不要跟我说话
2004019020100,恋鐘,ふぇ……,诶……
0000000000000,女優,……そういうことだから、別の場所で待機するわ,……就是这样，我去别的地方待机了
2004019020110,恋鐘,……,……
2004019020120,恋鐘,…………,…………
2004019020130,恋鐘,……苦手かとは仕方なかね,……不喜欢我也是没办法的事啊
0000000000000,プロデューサー,恋鐘……,恋鐘……
2004019020140,恋鐘,──そいじゃあ、うちは\n今のうちに台本読み直しておくばい～！,——那么，我先\n趁着现在再看看剧本吧～！
0000000000000,プロデューサー,……無理しなくていいんだぞ,……不用勉强自己
0000000000000,プロデューサー,俺も極力、ふたりが接触しないように気をつけるから,我会尽量注意不让你和她接触的
2004019020150,恋鐘,ううん～！\nそがんことせんでよか！　うちが気をつけるけん,嗯～！\n别这么说嘛！我会注意的啦！
0000000000000,プロデューサー,…………,…………
0000000000000,プロデューサー,（────あんな風に面と向かって言われたら\n気になってしまうよな）,（────她当面对我说这些话\n我肯定会很在意的吧）
0000000000000,プロデューサー,（今朝、彼女が恋鐘のこと見ていたのは\nこういうことだったのか……）,（今早她看着恋鐘，是不是就是因为这个原因……）
2004019020160,恋鐘,……ばってん、プロデューサー\n１個だけ聞いてもよか？,……那个，制作人\n能问你一个问题吗？
0000000000000,プロデューサー,もちろん\nなんでも聞いてくれ,当然可以\n有什么尽管问吧
2004019020170,恋鐘,────プロデューサーは苦手な人っておる？,────制作人有不擅长应对的人吗？
0000000000000,プロデューサー,うーん、俺は……,嗯，我……
select,,いないかな,没有吧
select,,いると思う,应该有的吧
select,,そうだな……,嗯……
0000000000000,プロデューサー,……というか、人に対して\n好き嫌いは考えないようにしてるって感じかな,……或者说，我对人\n尽量不考虑喜欢或讨厌的感觉
2004019020180,恋鐘,どがんこと？,为什么这么说？
0000000000000,プロデューサー,相手を苦手だと思って身構えてしまうと\nそれがどこかしら態度に出てしまうだろ？,如果觉得对方不擅长应对而戒备的话\n态度上多少会表现出来吧？
0000000000000,プロデューサー,そうなると、うまくいくものも\nうまくいかない気がするんだよ,那样的话，原本能顺利的事情\n也会变得不顺利吧
2004019020190,恋鐘,そういうことやったと～,原来是这么回事啊～
0000000000000,プロデューサー,だから、俺は自分に苦手な人はいないって\n言い聞かせてる,所以，我会告诉自己\n我没有不擅长应对的人
2004019020200,恋鐘,そいは素敵な考え方やけん\nうちも真似してみるばい～！,那真是很棒的想法呢\n我也要学着试试看～！
0000000000000,プロデューサー,今はこれと言って思い当たる人はいないけど\n俺にも苦手な人のひとりやふたりはいるだろうし,现在并没有特别想到谁\n但我觉得我也有一两个不擅长应对的人吧
2004019020210,恋鐘,プロデューサーらしかね\n────うちは苦手～とか感じたことなかと,制作人果然是这样呢\n────我从来没有觉得谁不擅长应对
2004019020220,恋鐘,やけん、どがん気持ちかわからんくて……,所以，我不太明白那种感觉……
0000000000000,プロデューサー,そうだったのか\nでも、それは恋鐘の良いところだし、俺は尊敬してる,原来是这么回事啊\n但这正是恋鐘的优点，我很尊敬你
2004019020230,恋鐘,ふぇ……,诶……
0000000000000,プロデューサー,それに、苦手ってことは相手を強く意識している証拠だし\nそこから好きに転じることもあると思うぞ,而且，觉得不擅长应对也是对对方很在意的证据\n从那里转变成喜欢的情况也是有的
2004019020240,恋鐘,……？\n苦手かとが好きになる～？,……？\n不擅长应对的人会变成喜欢的人吗～？
0000000000000,プロデューサー,うん、人の感情は日々変化するものだから\nあまりそれに振り回されなくてもいいんだ,嗯，人的感情每天都在变化\n不要太被这些感情左右也挺好的
2004019020250,恋鐘,なるほど～,原来如此～
2004019020260,恋鐘,プロデューサーのおかげで元気の出たばい\nありがとう～,多亏了制作人，我又有了精神\n谢谢你～
2004019020270,恋鐘,変な事ば聞いてしもうてごめん～\n忘れてくれてよかよ！,问了奇怪的问题真是抱歉～\n忘了吧！
0000000000000,プロデューサー,いや、恋鐘が気になってるんだから\n俺にとっても大事なことだよ,不，既然恋鐘在意\n对我来说也是很重要的事
2004019020280,恋鐘,プロデューサー……,制作人……
0000000000000,プロデューサー,人との関わり方に正解はないし\n一緒に悩んで解決していこう、恋鐘には俺がついてるから,人与人相处没有标准答案\n一起烦恼并解决吧，恋鐘有我在呢
2004019020290,恋鐘,そ、そうやね、一緒に……,是、是啊，一起……
2004019020300,恋鐘,ばってん、プロデューサーが悩んどる時は\nうちが力になるけんね～！,那个，制作人烦恼的时候\n我也会成为你的力量的哦～！
info,produce_events/200401902.json,,
译者,deepseek-chat,,
