id,name,text,trans
4001080040010,果穂,！！\nレッスン室、使えないんですか……！,！！\n练习室不能用了吗……！
0000000000000,スタッフ,すみません小宮さん……\nこちら側で手違いがあったみたいで……,对不起，小宫同学……\n这边好像出了点差错……
4001080040020,果穂,わかりました……！,明白了……！
4001080040030,果穂,あっ！　あのっ\n他のお部屋は使えないですか……？,啊！那个\n其他房间能用吗……？
0000000000000,スタッフ,ごめんなさい、そちらも……,对不起，那边也不行……
0000000000000,スタッフ,今日はイルミネさんとストレイさんがユニット練習で、\n自主練用のお部屋はこのあと斑鳩さんが取っていらして,今天Illumination Stars和Straylight有团队练习，\n自主练习的房间之后会被斑鸠同学预定
4001080040040,果穂,そうなんですね……！,原来是这样……！
4001080040050,ルカ,……,……
4001080040060,ルカ,……めんどくせぇ,……好麻烦
4001080040070,果穂,調べてくれてありがとうございました！\nじゃああたし、帰りま──,谢谢你帮忙调查！\n那我就先回──
4001080040080,ルカ,私の部屋、キャンセルで,我的房间取消
4001080040090,果穂,えっ……！,诶……！
0000000000000,スタッフ,斑鳩さん！？,斑鸠同学！？
4001080040100,ルカ,聞こえた？,听到了吗？
0000000000000,スタッフ,えっ、あっ、ハイ！\nキャンセルですね、でもよろしいんですか……？,诶，啊，是的！\n取消是吗，真的可以吗……？
4001080040110,ルカ,別に\n……もう行っていい？,无所谓\n……我可以走了吗？
0000000000000,スタッフ,はいっ、お引きとめしてすみません……！,好的，抱歉打扰了……！
4001080040120,果穂,えっ、えっ……！,诶，诶……！
0000000000000,スタッフ,……えーと\nそういうことなので、小宮さん,……那个\n情况就是这样，小宫同学
0000000000000,スタッフ,お部屋空いたので、お使いいただけるんですが──,房间空出来了，您可以使用──
4001080040130,果穂,わっ！　はい！\n──あ、あのっ、ちょっとだけ待ってください……！,哇！好的！\n──那个，请稍等一下……！
4001080040140,果穂,っルカさん！,路加同学！
4001080040150,ルカ,……,……
4001080040160,果穂,お部屋っ、ありがとうございます！,谢谢你让出房间！
4001080040170,ルカ,いい──,不客──
4001080040180,果穂,それで！,然后！
4001080040190,ルカ,……,……
4001080040200,果穂,一緒に練習しませんか！,一起练习吧！
4001080040210,ルカ,はぁ……？,哈……？
4001080040220,果穂,イヤホンあるので！\nあたし、音出しません！　自分ので聞けます！,我有耳机！\n我不会出声的！自己听！
4001080040230,果穂,だからルカさんのじゃまはしないと思います……！,所以不会打扰到路加同学……！
4001080040240,ルカ,……いや、別にそこまで──,……不，其实不用──
4001080040250,果穂,でも、ルカさんが練習できなくなっちゃいます……,可是，这样路加同学就不能练习了……
4001080040260,ルカ,……っ……,……呃……
4001080040270,ルカ,……あー…………,……啊…………
4001080040280,ルカ,（──……スタジオのあてはあったんだし）,（──……本来就有练习室的）
4001080040290,ルカ,（……別に、付き合わなくてもよかったのに）,（……其实不用特意陪她的）
4001080040300,果穂,今日の差し入れ、ちょこ先輩も選んだって言ってました！,今天的点心，是小千前辈也选的！
4001080040310,果穂,愛依さんと一緒に選びに行くって言ってて！,她说要和爱依一起去选的！
4001080040320,果穂,ちょこ先輩が選ぶものは『外れがない』んです……！\n夏葉さんも言ってました……！,小千前辈选的东西从来没失手过……！\n夏叶也这么说过……！
4001080040330,果穂,だから、今日のもスッゴく美味しいと思いますー！,所以，今天的点心一定很好吃！
4001080040340,ルカ,……,……
4001080040350,果穂,ルカさんはどれにしますか？,路加同学想选哪个？
4001080040360,ルカ,いらねぇ,不需要
4001080040370,果穂,……！ \nルカさん、あの……ごめんなさい……！,……！ \n路加姐，那个……对不起……！
4001080040380,果穂,はづきさんに、『差し入れは残さないでくださいね』って\nお願いされてて……それで……！,叶月姐说过『请不要留下任何差点心』\n所以……！
4001080040390,ルカ,……そうかよ,……是吗
4001080040400,ルカ,じゃあなんでもいい,那随便吧
4001080040410,果穂,！,！
4001080040420,灯織,！,！
4001080040430,灯織,（果穂と──……斑鳩さん）,（果穂和──……斑鸠姐）
4001080040440,灯織,（……普通に話してる）,（……在正常地聊天）
4001080040450,灯織,…………いいな,…………真好
4001080040460,灯織,（──って、そうじゃない……！）,（──不对，不是这样的……！）
4001080040470,灯織,（私が迷惑をかけたのに\n私のせいで嫌な思いをさせたのに）,（明明是我给大家添了麻烦\n让大家不愉快）
4001080040480,灯織,（こんなこと思うなんて勝手すぎる……──！）,（这样想太自私了……──！）
4001080040490,灯織,──,──
4001080040500,灯織,練習しよう────,继续练习吧────
4001080040510,灯織,（────謝罪を受け入れてもらえるようになるまで）,（────直到她愿意接受我的道歉）
4001080040520,灯織,（それがダメでも、せめて\n真剣にアイドルをやってるって伝わるように──）,（即使不行，至少也要\n让她知道我在认真做偶像──）
4001080040530,灯織,（普通に話すとか、そういうのは\n────その後だ）,（正常聊天什么的\n────那是之后的事）
4001080040540,愛依,アハハ～\nまだ残ってる人、いると思わなかったわ～,哈哈～\n没想到还有人留下来～
4001080040550,灯織,私もです,我也一样
4001080040560,愛依,うち、今日好きなお菓子買わせてもらったから\nその分ちょー頑張らなきゃ！　ってカンジで～,我今天买了自己喜欢的零食\n所以超努力！　就是这样的感觉～
4001080040570,灯織,ああ、差し入れの……,哦，是说差点心的……
