id,name,text,trans
4001079080010,摩美々,（タクシーは──）,（出租车是──）
0000000000000,タクシーアプリ,『周辺に車両がありません』,『附近没有车辆』
4001079080020,摩美々,えー……,哎……
4001079080030,摩美々,（待ってたら間に合わないかも……）,（等下去可能赶不上……）
4001079080040,摩美々,（じゃー、電車？\nそれなら駅まで歩いていくしか──）,（那么，坐电车？\n那就只能走到车站──）
0000000000000,女子生徒,（──帰ってまた復習しなきゃ……）,（──回去还得复习……）
0000000000000,ラジオの声,『ああ……！　野外トークイベントって今日か！\n俺さ、いや呼ばれたの、声かけていただいたの』,『啊……！ 户外谈话活动是今天吗！\n我啊，被邀请了，真是受宠若惊』
0000000000000,ラジオの声,『でもスケジュールがさあ……\n今日に限って詰まってんのよ、ほんと残念』,『但是今天的日程……\n今天特别满，真的很遗憾』
0000000000000,ラジオの声,『あの、アイドルの子とかも来るんでしょ？\nあんま普段会わないような人と会えるからね』──,『那个，偶像也会来吧？\n可以见到平时见不到的人呢』──
0000000000000,女子生徒,（…………）,（…………）
0000000000000,女子生徒,（そっか……今日か────）,（是今天啊────）
0000000000000,女子生徒,（イベントの公園、この近くだよね……）,（活动的公园，就在这附近吧……）
0000000000000,女子生徒,（まあ、行かないけど……──）,（不过，我不去……──）
0000000000000,女子生徒,あっ,啊
4001079080050,摩美々,！,！
4001079080051,摩美々＆女子生徒,っ……！,啊……！
4001079080060,摩美々,……,……
0000000000000,女子生徒,っ、すみません……！\n大丈夫ですか？,啊，对不起……！\n你没事吧？
4001079080070,摩美々,あ……はい……,啊……是的……
0000000000000,女子生徒,えっ…………,哎…………
4001079080080,摩美々,？,？
0000000000000,女子生徒,あ、えっと…………\nアンティーカの────？,啊，那个…………\nL'Antica的────？
4001079080090,摩美々,──あぁ、はい……,──啊，是的……
0000000000000,女子生徒,あれ？\nでも、今日イベント────,咦？\n不过，今天的活动────
0000000000000,女子生徒,公園、あっちですけど……,公园，在那边……
0000000000000,女子生徒,────？,────？
0000000000000,女子生徒,ああ……！　そっか、駅から──\nバスありますよ、公園までの,啊……！ 是的，从车站──\n有去公园的公交车
4001079080100,摩美々,え、あぁ……,啊，啊……
4001079080110,摩美々,バスって──,公交车──
0000000000000,女子生徒,こっちです……！\n私もちょうど同じ方面なので、案内します！,这边……！\n我也正好同路，我带你过去！
4001079080120,摩美々,……,……
0000000000000,女子生徒,────あの,────那个
4001079080130,摩美々,？,？
0000000000000,女子生徒,聞きました、ラジオ\nこの間の、スペシャル回,听了你的广播\n上次的特别节目
4001079080140,摩美々,あぁ、どうもー,啊，多谢了
0000000000000,女子生徒,……いきなりこんな話するの\nアレなんですけど────,……突然说这些\n有点那个────
0000000000000,女子生徒,私……\n実は最近、失恋しちゃって……,我……\n其实最近，失恋了……
4001079080150,摩美々,……,……
0000000000000,女子生徒,かなり落ち込んでたっていうか…………\n振られたんです、だから────,心情很低落……\n被甩了，所以────
0000000000000,女子生徒,好きって気持ちが\nなかなか、なくならなくて…………,喜欢的感觉\n怎么也消不掉…………
0000000000000,女子生徒,なくせなくて…………,消不掉…………
0000000000000,女子生徒,どうしたらいいんだろうって\n悩んでて……,不知道该怎么办\n很苦恼……
4001079080160,摩美々,……,……
0000000000000,女子生徒,でも、摩美々さんの『なくならないものがあるなら\n消えないままでもいい』って言葉を聞いて──,但是，听到摩美美小姐说『如果有无法消失的东西\n就让它不消失也可以』──
0000000000000,女子生徒,無理に捨てなくてもいいのかもって────……,觉得不必勉强丢掉────……
0000000000000,女子生徒,好きなままでいても\nつらいとは思うんですけど……,即使继续喜欢\n会觉得痛苦……
0000000000000,女子生徒,あの言葉を聞いて\n少しだけ……気持ちが楽になったんです,可听到那句话\n心情稍微轻松了些
4001079080170,摩美々,え──,啊──
0000000000000,女子生徒,摩美々さんの言葉、ずっと……,摩美美小姐的那句话，永远……
0000000000000,女子生徒,残ると思います\n私の中に,会留在我心里
0000000000000,女子生徒,ありがとうございました,谢谢你
4001079080180,摩美々,──や、別に……,──哎，也没什么……
0000000000000,女子生徒,たぶん、向こうの広場が会場だと思うんですけど────,我想，前面的广场应该就是会场────
4001079080190,摩美々,ありがとうございますー,谢谢你啊
0000000000000,男子生徒,……！,……！
0000000000000,女子生徒,……あ────,……啊────
4001079080200,摩美々,……？,……？
4001079080210,摩美々,……じゃあ、私はこれでー,……那我先走了啊
0000000000000,女子生徒,あっ、はい……！,啊，是的……！
0000000000000,男子生徒,えっ、まみ────！？,哎，摩美美────！？
0000000000000,男子生徒,え……\n今の……────,诶……\n刚才的……────
0000000000000,女子生徒,うん、アンティーカの……\n偶然会って、道案内的な──,嗯，是L'Antica的……\n偶然遇到了，顺便带路──
0000000000000,男子生徒,……え？,……诶？
0000000000000,男子生徒,──────,──────
0000000000000,男子生徒,ていうか、イベント……知ってたの？\nまさか、ラジオ聞いて────？,话说，你知道那个活动吗？\n难道，你听了广播────？
0000000000000,女子生徒,あ、最終回とスペシャルだけ……,啊，只听了最后一集和特别节目……
0000000000000,男子生徒,──ああ……,──哦……
0000000000000,女子生徒,（…………\nなんか、言わなきゃ──）,（…………\n好像得说点什么──）
0000000000000,男子生徒,（…………\n何言えばいいんだろ──）,（…………\n该说点什么呢──）
0000000000000,女子生徒,私──────,我──────
0000000000000,女子生徒,……ずっと、忘れないと思う,……一直都不会忘记的
0000000000000,女子生徒,一緒に過ごしたこと,我们一起度过的时光
0000000000000,男子生徒,………………,………………
0000000000000,女子生徒,なんて、困らせるようなこと\n言いたかったわけじゃなくて…………,并不是想说让你为难的话…………
0000000000000,女子生徒,────うん…………,────嗯…………
0000000000000,女子生徒,私と付き合ってくれて……,感谢你陪伴我……
0000000000000,女子生徒,──思い出をくれて……,──给了我回忆……
0000000000000,女子生徒,ありがとう,谢谢你
0000000000000,男子生徒,…………,…………
0000000000000,女子生徒,じゃあ……\nイベント、楽しんで,那么……\n好好享受活动吧
0000000000000,男子生徒,……うん,……嗯
0000000000000,女子生徒,消えない,不会消失的
0000000000000,女子生徒,なくならない,不会消散的
