id,name,text,trans
0000000000000,友人１,──A＋だよ……！\n私、初めて取った……！,──A+哦……！\n我，这是第一次拿到……
1013005040010,夏葉,よかったわ……,太好了……
0000000000000,友人２,A＋取ったの、私たちともう１グループだけだって！,拿到A+的，只有我们和另一个组而已！
1013005040020,夏葉,そうなの？,真的吗？
1013005040030,夏葉,……ごめんなさい。私が期日通りにやっていれば\nもっとブラッシュアップできたのに……,……对不起。如果我按期完成\n我们本可以更完美……
0000000000000,友人１,なんで？\n一番いい成績取ったじゃん,为什么呢？\n我们不是拿到了最好的成绩吗
1013005040040,夏葉,──それでも。私のせいで、\nよりよくするチャンスを奪ってしまったのは事実だもの,──即便如此。因为我，\n我们失去了更好表现的机会，这是事实
0000000000000,友人１,あははっ……\nやっぱり夏葉はすごいね,哈哈……\n夏葉你还是那么厉害
0000000000000,友人２,前も眩しかったのに、\nもっと眩しくなった気がするなぁ,本来就已经很耀眼了，\n现在感觉更耀眼了呢
1013005040050,夏葉,……そうだったら、嬉しいわ,……如果是这样，我很开心
0000000000000,友人３,このままどんどん輝いてっちゃうのかな？,会不会一直这样越来越闪耀呢？
1013005040060,夏葉,そうなりたいわね,我希望是这样
1013005040070,夏葉,昨日より今日、今日より明日の私が\n輝いていたら、とっても素敵だもの！,比昨天的自己更闪耀，\n那是非常美好的事情！
0000000000000,友人１,できると思うな、夏葉なら,我觉得你可以，夏葉
0000000000000,友人１,──さて！　夏葉がパワーアップしたし、\nA＋も取ったし、パーッと行きますか！,──好了！夏葉已经变得更强了，\n也拿到了A+，我们去庆祝一下吧！
0000000000000,友人１,アイドル、興味ない？\nこの子たちなんだけど、今度コンサートがあるんだよね！,对偶像有兴趣吗？\n就是这群人，他们最近有演唱会哦！
0000000000000,友人３,これ……今すごく人気のグループだよね……！,这……是现在非常火的组合吧……！
0000000000000,友人１,そう！\nチケット取るつもりなんだけど、一緒にどう？,对！\n我打算买票，你要一起去吗？
1013005040080,夏葉,そんなに有名なの？,这么有名吗？
0000000000000,友人２,そっか、夏葉ちゃんはアイドルとか知らないのか……！,是啊，夏葉你不太了解偶像吧……！
1013005040090,夏葉,ええ、知らないわ\n知らなくても、見に行って大丈夫かしら？,嗯，不太了解\n不过不认识也没关系吧？
0000000000000,友人１,大丈夫！　知らなくても絶対楽しいし、\n不安なら私が教えるから,没事！不认识也一定会很开心的，\n如果你有疑惑我可以教你
1013005040100,夏葉,ありがとう……！\nそれならぜひ、行ってみたいわ！,谢谢……！\n那我一定要去看看！
1013005040110,off,────その日、初めて光の海を見た,────那天，我第一次看到了光的海洋
1013005040120,off,熱気と歓声が大きな波となり\n光の海が、どこまでも広がっていた────,热情和欢呼声汇成巨浪\n光的海洋，无边无际地延展开────
1013005040130,夏葉,────……,────……
1013005040140,夏葉,すごい…………すごいわ…………,好厉害…………好厉害……
1013005040150,夏葉,（会場中が、大きな波のように揺れて……）,（整个会场像巨浪一样摇动……）
1013005040160,夏葉,（中心にいるのは、\n誰よりも眩しく輝く……────）,（站在中央的，是比任何人都耀眼的……────）
0000000000000,アイドル１,まだまだ！\nもっとみんなの声を聞かせて────！,还不够！\n让我听到更多大家的声音────！
0000000000000,アイドル２,────ありがと～！\nすっごいアツいライブになったよ～,────谢谢～！\n这真是场超热烈的演唱会～
0000000000000,アイドル３,残念ですが、次が最後の曲になります……！,令人遗憾的是，接下来是最后一首歌了……！
0000000000000,ファンたち,ええ～～～～！！,哎～～～～！！
1013005040170,夏葉,わかるわ……！\n私も終わってほしくないもの……！,我明白……！\n我也不希望结束……
0000000000000,友人１,あははっ\n夏葉もすっかりファンになっちゃったんじゃない？,哈哈\n夏葉你已经彻底变成粉丝了吧？
0000000000000,アイドル１,たくさんの応援、\nいつも本当にありがとうございます！,谢谢大家的支持，\n一直以来真的非常感谢！
0000000000000,アイドル１,みんなのあたたかい声援が\n私たちの背中を押してくれたから、ここまで来れました,大家的热情支持，\n让我们一路走到了今天
0000000000000,アイドル１,だから今度は、私たちがみんなの背中を押す番！\nみんなの今日が、明日が、もっと輝くことを願って────,所以下一次，轮到我们来支持大家了！\n希望大家的今天、明天更加闪耀────
0000000000000,アイドル１,最後の曲、行くよ────！,最后一首歌，开始了────！
1013005040180,夏葉,（ファンと、アイドル\n客席と、ステージ）,（粉丝和偶像\n观众席和舞台）
1013005040190,夏葉,（それを繋ぐ、光の海……）,（连接它们的，是光的海洋……）
1013005040200,夏葉,（互いを応援して、互いに成長して\nどこまでも高みを目指せる場所……──）,（互相支持，互相成长\n一起追求更高的地方……──）
1013005040210,夏葉,……これだわ！,……就是这个！
1013005040220,夏葉,──もしもし、お父さん？\nお母さんもいるかしら？,──喂，爸？\n妈也在吗？
1013005040230,夏葉,……ええ……\nやりたいことができたの！,……嗯……\n我找到了想做的事！
1013005040240,夏葉,私、アイドルでトップを目指すわ！,我要成为顶级偶像！
1013005040250,夏葉,アイドルってすごいのよ！\n誰も想像できない大きなことだってできる気がするわ──！,偶像真的很厉害！\n我感觉自己可以做到任何人都无法想象的伟大事情──！
info,produce_events/101300504.json,,
译者,gpt-4o-2024-05-13,,
