id,name,text,trans
0000000000000,円香の母,円香ー,円香——
3021020030010,円香,ん……,嗯……
0000000000000,円香の母,おもち何個ー？,年糕要几个？
3021020030030,円香,……ひとつでいい,……一个就够了
0000000000000,円香の母,つきたてだからおいでー,刚做好的，快来吃吧——
3021020030040,円香,んー……,嗯……
3021020030050,円香,……,……
3021020030060,円香,……年賀状届いてる,……贺年卡都收到了
3021020030070,円香,クラスメイト……事務所……関係者……,同学……事务所……相关人员……
3021020030080,円香,…………,…………
3021020030090,円香,……おはよ,……早上好
0000000000000,円香の母＆父,あけましておめでとうございます！,新年快乐！
3021020030100,円香,……あけましておめでとう,……新年快乐
3021020030110,円香,ねえ、年賀状のお返し書きたいんだけど\nまだハガキ残ってる？,那个，我想写回贺年卡\n还有明信片吗？
0000000000000,円香の父,ある\n買ってきた,有\n我买了一些
0000000000000,円香の母,あるって！,有的！
3021020030120,円香,聞こえてるから,我听到了
0000000000000,円香の母,まとめて住所印刷しちゃうから\nいる分そこに置いといて,我会统一打印地址\n需要的份数放在那里吧
3021020030130,円香,……分かった,……知道了
0000000000000,円香の父,表面のイラスト\nどれがいい？,正面的图案\n想要哪个？
3021020030140,円香,……,……
3021020030150,円香,……じゃ、この七福神のやつ\n宝船に乗ってる方,……那就这个七福神的吧\n坐在宝船上的那个
3021020030160,透,えっと……\nあ、あった,那个……\n啊，找到了
3021020030170,透,七草粥セット,七草粥套装
3021020030180,円香,ミッションクリア,任务完成
3021020030190,小糸,そういえば……\n七草粥って、縁起物でもあるけど,说起来……\n七草粥虽然是吉祥物
3021020030200,小糸,お正月でいっぱい食べた胃を\n休める意味もあるんだよね……！,但也有让新年吃太多的胃\n休息一下的意思呢……！
3021020030210,雛菜,あは～、そうなんだ～\n雛菜もちょっと休めたいかも,啊哈～，原来如此～\n雛菜也想稍微休息一下呢
3021020030220,円香,そういうのを見越して\nうちは控えめにしてたから,考虑到这一点\n我们家已经控制得比较少了
3021020030230,円香,それでも飽食状態だったけど,不过还是吃得有点撑
3021020030240,雛菜,雛菜はおいしいものいっぱい食べたよ～\nおそばにおせちに、お雑煮でしょ～,雛菜吃了好多好吃的哦～\n有荞麦面、年菜、还有杂煮～
3021020030250,雛菜,あと、温泉行って\nしゃぶしゃぶも食べた～！,而且，还去泡了温泉\n吃了涮涮锅～！
3021020030260,小糸,い、いいね……！,真、真好啊……！
3021020030270,円香,お菓子コーナーはあっち,零食区在那边
3021020030280,透,おー,哦——
3021020030290,小糸,……あ\nお菓子の初売り袋だって……！,……啊\n说是零食的初卖福袋……！
3021020030300,透,福袋みたいなやつ？,像福袋那样的？
3021020030310,円香,そんな感じ,差不多
3021020030320,雛菜,でもそれ何入ってるかわからないんでしょ～\n選べないなら雛菜はいいや～,但是不知道里面有什么吧～\n不能选的话雛菜就算了～
3021020030330,円香,欲しいなら買えば？,想要的话就买呗？
3021020030340,小糸,う、うん……\nでも、他のも見てからにしようかな……,嗯、嗯……\n不过，还是先看看其他的吧……
3021020030350,雛菜,……あ、あれはなんだろ～,……啊，那是什么呀～
3021020030360,雛菜,『初夢占います』だって～,写着“初梦占卜”呢～
3021020030370,円香,どうせ縁起がいいって言われて\nおしまいでしょ,反正最后都会说吉利话\n结束了吧
3021020030380,雛菜,へ～、そうなのかな～,诶～，是这样吗～
3021020030390,小糸,わ、わたしは見たけど……\nもうあんまり覚えてないや……,我、我倒是做了梦……\n不过已经不太记得了……
3021020030400,雛菜,透先輩は初夢見た～？,透前辈做了初梦吗～？
3021020030410,透,え？\nんー……,嗯？\n嗯……
3021020030420,透,覚えてない\n樋口は？,不记得了\n樋口呢？
3021020030430,円香,……私も,……我也不记得
3021020030440,雛菜,じゃあ誰も占えないね～,那没人能占卜了呢～
3021020030450,円香,そんな時間ないし\nおつかい頼まれてるんだから,没那个时间\n还有跑腿的任务呢
3021020030460,透,あー,啊——
3021020030470,透,じゃ、行こ,那，走吧
3021020030480,雛菜,円香先輩って────,円香前辈真是————
3021020030490,透,塩っぽいの\nの、塩味,有点咸的\n嗯，咸味
3021020030500,小糸,お、おっきいのあるよ……！,哇，有大的……！
3021020030510,円香,……,……
3021020030520,円香,それ、すぐなくなるから\nふた袋くらい買っとけば,那个很快就会卖完\n买两袋备着吧
info,produce_events/302102003.json,,
译者,deepseek-chat,,
