id,name,text,trans
3012020010010,果穂,…………,…………
3012020010020,智代子,…………,…………
3012020010030,凛世,…………,…………
0000000000000,司会者,さあ、３人とも真剣な表情で考えておりますが──\n放クラチーム、泣いても笑ってもこれがラストチャンス！,好了，三个人都在认真思考──\n放クラ队，不管笑或哭，这是最后的机会！
0000000000000,司会者,『答えを合わせまSHOW★連想ゲーム』！\n最後のお題は『夏といえば』！,『答案一致SHOW★联想游戏』！\n最后的题目是『说到夏天』！
0000000000000,司会者,これはいっぱいありますからね～\n果たして答えを合わせることができるのでしょうか！,这个题目有很多答案哦～\n果然能把答案对上吗？
0000000000000,司会者,放クラチーム、ここまで15問中９問クリア！\n全問クリアした場合の大賞賞品は逃してしまいましたが──,放クラ队，到目前为止15题答对了9题！\n虽然错过了全对的大奖奖品──
0000000000000,司会者,15問中10問クリアで授与される副賞の賞品は\nまだ狙えます……！,但答对15题中的10题仍能获得副奖的奖品\n还有机会……！
0000000000000,司会者,まずは小宮さんが答えを書いたようです！\nいかがでしょう、自信のほどは？,首先是小宫写下了答案！\n怎么样，有信心吗？
3012020010040,果穂,あります……！,有的……！
0000000000000,司会者,おっと、これは期待ができそうですねー\n──と言っていると園田さんも……？,哦，这看起来很有希望呢──\n园田也……？
0000000000000,司会者,書き終えたようです！\n園田さん、その答えでよろしいですね？,也写完了！\n园田，这个答案可以吗？
3012020010050,智代子,はい！\n迷ったんですけど、やっぱりこれかなって……！,可以！\n虽然犹豫了一下，但还是选了这个……！
0000000000000,司会者,杜野さんも書き終えました！\nずいぶん悩まれたようですが、今のお気持ちは？,杜野也写完了！\n似乎纠结了很久，现在感觉如何？
3012020010060,凛世,合っていると……信じております……,我相信……是对的……
0000000000000,司会者,さあ、その思いが実るのかどうか……！\nそれでは見ていきましょう！,那么，这份信念是否会实现呢……！\n现在就来看看吧！
0000000000000,司会者,回答、オープン！,揭晓答案！
0000000000000,果穂,『海』,『海』
0000000000000,智代子,『海』,『海』
0000000000000,凛世,『海』,『海』
0000000000000,司会者,全員『海』！　見事回答マッチ！\n放クラチーム10問クリアで副賞ゲットです！,全员『海』！ 答案完美匹配！\n放クラ队答对了10题，获得副奖！
0000000000000,司会者,おめでとうございます！,恭喜你们！
3012020010091,果穂＆智代子＆凛世,ありがとうございます！,谢谢！
0000000000000,司会者,副賞は『夏のレジャーアイテムセット』です！\nこれで素敵な夏をお過ごしください！,副奖是『夏日休闲用品套装』！\n祝你们度过一个美好的夏天！
3012020010092,果穂＆智代子＆凛世,はい！,好的！
3012020010100,凛世,浮き輪……レジャーシート……,游泳圈……休闲垫子……
3012020010110,凛世,ビーチボール……水鉄砲……\nサングラス……,沙滩球……水枪……\n太阳镜……
3012020010120,果穂,あっ！\nあたしがもらったのとサングラスの色がちがいます！,啊！\n我得到的太阳镜颜色不一样！
3012020010130,智代子,私のとも違う！\nね、凛世ちゃん！　かけてかけて！,我的也不同！\n凛世，快戴上试试！
3012020010140,凛世,はい……,好……
3012020010150,果穂,わぁ……っ！\n凛世さん、スッゴく似合ってます！,哇……！\n凛世，你戴着很适合！
3012020010160,智代子,うん！　かっこいい～！,嗯！ 很帅气～！
3012020010170,凛世,ふふ……\nありがとうございます……,呵呵……\n谢谢……
3012020010180,果穂,あ……！,啊……！
3012020010190,果穂,凛世さん！\nこのぬいぐるみさわってみてください！,凛世！\n你摸摸这个玩偶！
3012020010200,凛世,は、はい……,好……
3012020010210,凛世,……！,……！
3012020010220,智代子,ど、どうしたの？\n大丈夫……！？,怎么了？\n没事吧……！？
3012020010230,凛世,ぬいぐるみが……冷たく……,玩偶……好冰……
3012020010240,智代子,あっ、冷感ぬいぐるみなんじゃない？\n触るとヒヤッとする生地で作られてるやつ！,啊，这可能是冷感玩偶！\n用摸上去感觉凉爽的布料做的！
3012020010250,凛世,冷感……ぬいぐるみ……,冷感……玩偶……
3012020010260,凛世,ふふ……\n触るだけで……ひんやりと……,呵呵……\n一摸上去就……凉凉的……
3012020010270,凛世,せっかくの頂き物……\n使わないのは……もったいなく……,难得的礼物……\n不使用就太可惜了……
3012020010280,智代子,わかる,我懂
3012020010290,果穂,はい！,是的！
3012020010300,凛世,このアイテムで……夏を満喫したく……,想用这些东西……\n好好享受夏天……
3012020010310,智代子,わかる！,我懂！
3012020010320,果穂,はいっ！,是的！
3012020010330,凛世,では…………,那么…………
3012020010340,凛世,みなさんで……\n海に行くのは……いかがでしょう……？,大家一起去……\n海边怎么样……？
3012020010341,果穂＆智代子,賛成ですー！,赞成！
3012020010350,凛世,ふふ……,呵呵……
3012020010360,智代子,海ではー、何をして遊びますか？,在海边，我们玩什么呢？
3012020010370,凛世,海で…………\n海の遊びと言えば……────,在海边…………\n说到海边的游戏……────
3012020010371,果穂＆智代子＆凛世,宝探しゲーム！,寻宝游戏！
3012020010380,智代子,あはは、揃わなかった！,哈哈哈，不一致呢！
3012020010390,果穂,じゃあ、やるのは全部ですね……っ！,那我们就全部都玩一次吧……！
3012020010391,智代子＆凛世,賛成！,赞成！
3012020010400,智代子,楽しみだねぇ,好期待啊
3012020010410,凛世,はい……,嗯……
info,produce_events/301202001.json,,
译者,gpt-4o-2024-05-13,,
