id,name,text,trans
4001079040010,摩美々,霧子も差し入れ食べるー？,雾子也要吃一些吗？
4001079040020,霧子,あ……\nうん……,啊……\n嗯……
4001079040030,霧子,ありがとう……,谢谢……
4001079040040,霧子,……？,……？
4001079040050,霧子,あ……,啊……
4001079040060,摩美々,何ー？,怎么了？
4001079040070,霧子,鉛筆……落ちてて……,铅笔……掉了……
4001079040080,摩美々,あぁ……,啊……
0000000000000,スタッフ,田中さん、幽谷さん\n準備できましたのでお願いしますー,田中小姐，幽谷小姐\n准备好了，请过来
4001079040081,摩美々＆霧子,はぁい,好
4001079040090,霧子,あの……これ……\n落とし物かも……,那个……这个……\n可能是掉的东西……
0000000000000,スタッフ,ああ……！\nどうも、ありがとうございます！,啊……！\n谢谢你！
4001079040100,摩美々,……霧子、どうかしたぁ？,……雾子，怎么了吗？
4001079040110,霧子,あ……\nちょっとね……似てたの……,啊……\n有点像……
4001079040120,霧子,少し前に……\nなくした鉛筆に……,有点像之前……\n丢的铅笔……
4001079040130,摩美々,それ、見つかったのー？,找到了吗？
4001079040140,霧子,ううん……\n探しても……見つからなくて……,没有……\n找了也没找到……
4001079040150,摩美々,ふーん……,嗯……
4001079040160,摩美々,──このコーナーでは\n『ひろいもの』についてのお便りを募集して,──在这个环节中\n我们会征集关于『捡到的东西』的来信
4001079040170,摩美々,お便りをくれたリスナーに\n電話で詳しい話を聞いていきまぁす,然后会打电话给来信的听众\n听他们详细讲述
4001079040180,霧子,わ……,哇……
4001079040190,霧子,お便り……いっぱい……,来信……好多……
4001079040200,霧子,みんな……摩美々ちゃんと……\nおしゃべりしたいんだね……,大家……都想和摩美美聊天呢……
4001079040210,摩美々,今回は霧子とおしゃべりしたい人の分も\n含まれてるよー,这次也有想和雾子聊天的人\n的来信哦
4001079040220,霧子,わ……\nふふっ……,哇……\n呵呵……
4001079040230,摩美々,じゃー、最初のお便りいくねー,那我们开始读第一封来信吧
4001079040240,霧子,うん……\nお願いします……,嗯……\n拜托了……
4001079040250,摩美々,ラジオネーム『推し事がしたいユズミン』さん,电台名是『想要推推的柚子民』的听众
4001079040260,摩美々,『摩美々ちゃん、こんばんは\nわたしの『ひろいもの』の話を聞いてください』,『摩美美，晚上好\n请听听我关于『捡到的东西』的故事』
4001079040270,摩美々,『わたしは１年前、長年勤めた職場をやむなく\n辞めることになり、求職活動をしていました』,『一年前，我不得不辞去了\n长期工作的公司，开始找工作』
4001079040280,摩美々,『受けても落ちる、その繰り返しで\n正直疲れ果てていたのですが』────,『一直在面试但都没通过\n老实说很累』────
4001079040290,摩美々,『ある日、企業に面接に行った帰りに\n青い犬のぬいぐるみを見つけました』,『有一天，我去公司面试回来时\n捡到了一只蓝色的狗狗玩偶』
4001079040300,摩美々,『それは、わたしが日頃から推している\n配信者さんのグッズだったのです』────……,『那是我一直支持的\n一个主播的周边』────……
0000000000000,リスナー４,──『それで、絶対にこれは持ち主さんに返さないとって\n思って、近くの交番に届けに行ったんです』,──『于是，我觉得一定要把它还给失主\n就送到了附近的派出所』
0000000000000,リスナー４,『そしたら先客がいて、その人が\nぬいぐるみを落としたご本人だったんです』,『结果那里已经有人了，那个人\n就是掉了玩偶的主人』
4001079040301,摩美々＆霧子,！,！
4001079040310,摩美々,それってー、その人が\n落とし物の届けを出してたってことですかぁ？,也就是说，那个人\n已经在报失物了？
0000000000000,リスナー４,『はい、そうだったんです\nそれで、無事にぬいぐるみをお渡しできて──』,『是的，没错\n然后，我顺利地把玩偶还给了他──』
0000000000000,リスナー４,『交番から出た後、実はわたしも\nそのぬいぐるみを持ってるんですって打ち明けて』,『从派出所出来后，我告诉他其实\n我也有那个玩偶』
