id,name,text,trans
0000000000000,スタッフ,はい、カーット！\n休憩入ってくださーい,好，卡！\n大家休息一下
0000000000000,プロデューサー,さすがに、寒くなってきたな……\n…………,确实，有点冷了啊……\n…………
2025012020010,美琴,プロデューサー,制作人
2025012020020,美琴,これ、スタッフさんから\nプロデューサーにも、って,这个，工作人员说\n也给你的
0000000000000,プロデューサー,おお、缶コーヒー……！,哦，罐装咖啡……！
0000000000000,プロデューサー,あったかい……\n助かるよ、寒かったんだ,好暖和……\n真是帮大忙了，刚才还很冷
2025012020030,美琴,よかった,太好了
0000000000000,プロデューサー,いただきます──,我开动了──
0000000000000,プロデューサー,熱っっ！！,烫！！！
2025012020040,美琴,そんなに熱かった？,这么烫吗？
0000000000000,プロデューサー,あ、ああ……！\n熱いけど、ゆっくり飲めば大丈夫だよ,啊，啊啊……！\n确实很烫，但慢慢喝就没问题
2025012020050,美琴,さっき、スタッフさんが話していたの\n冬の自販機のホットは、異様な熱さだって,刚才，工作人员在说\n冬天自动贩卖机的热饮特别烫
0000000000000,プロデューサー,あー、わかるよ\n自販機もコンビニも、猫舌の人にはつらいだろうな,啊，我懂了\n自动贩卖机和便利店的热饮对怕烫的人来说都挺难受的
2025012020060,美琴,言えばよかったね\n熱いから気を付けて、って,本来应该提醒你一下的\n说烫，小心点
0000000000000,プロデューサー,いや、気にしないでくれ\nびっくりしたけど、やけどするほどじゃないし,没事，别在意\n虽然吓了一跳，但不至于烫伤
0000000000000,プロデューサー,冷たすぎるより熱い方が今は嬉しいよ,比起太冷，现在还是热一点更好
0000000000000,プロデューサー,……というか、\n美琴は飲まなくていいのか？,……话说回来，\n美琴你不用喝点什么吗？
2025012020070,美琴,大丈夫\n水を飲んだから,不用了\n我喝了水
0000000000000,プロデューサー,水……って\n冷えないか？,水……？\n不会冷吗？
2025012020080,美琴,ううん、そんなに寒くないの,不会，不怎么冷
2025012020090,美琴,動いているおかげかな,可能是因为一直在动吧
0000000000000,スタッフ,５分後に撮影再開しまーす！,5分钟后重新开始拍摄！
0000000000000,プロデューサー,お、再開するって,哦，要重新开始了
2025012020100,美琴,ここからの撮影は大丈夫そう？,接下来的拍摄没问题吧？
0000000000000,プロデューサー,もちろんだよ\n缶コーヒーのおかげでな……！,当然有信心了\n多亏了这罐咖啡……！
0000000000000,プロデューサー,これならあと\n半日はいけるよ！,这样的话\n再坚持半天没问题！
2025012020110,美琴,そっか,是吗
0000000000000,プロデューサー,…………いや\nさすがに半日は言い過ぎたかな？,…………话说\n说半天有点夸张了吧？
0000000000000,プロデューサー,６時間……\nいや、もって２時間……,6小时……\n不，撑到2小时……
2025012020120,美琴,……ネガティブ,……消极
0000000000000,プロデューサー,……！！,……！！
0000000000000,プロデューサー,たしかに、こういう時こそ\nポジティブ思考で自己暗示しないとだよな……！,确实，这种时候\n应该要积极思考，自我暗示一下……！
2025012020130,美琴,自己暗示……,自我暗示……
2025012020140,美琴,自分に言い聞かせるのは、大事だね,对自己说话，确实很重要呢
select,,美琴もやるのか？,美琴你也这么做吗？
select,,大事だよな,确实很重要
select,,寒くない、寒くない\n寒くない,不冷，不冷\n不冷
2025012020150,美琴,どうなんだろう\nやろうと思ったことはないけど……,怎么说呢\n虽然没特意去做过……
2025012020160,美琴,…………,…………
2025012020170,美琴,無意識のうちにやっているのかもしれないね,或许在无意识中已经做了呢
0000000000000,プロデューサー,そういうもんだよな,确实是这样
0000000000000,プロデューサー,何事も自分に言い聞かせてからやる方が\n心の準備ができる気がするし,不管做什么，先对自己说一遍\n感觉能更好地准备好心态
2025012020180,美琴,そうだね,是啊
2025012020190,美琴,じゃあ、撮影行ってくるね,那我去拍摄了
0000000000000,プロデューサー,ああ\n頑張ってくれ！,嗯\n加油！
0000000000000,プロデューサー,なんとなくだけど……\n自分はできるって思い込むと、本当にできるような気がする,虽然只是感觉……\n但觉得自己能做到，就真的能做到
0000000000000,プロデューサー,覚悟が決まるというか\n迷いがなくなるというか……,就像是有了决心\n没有犹豫……
0000000000000,プロデューサー,だから俺は、寒くない！,所以我不冷！
0000000000000,プロデューサー,というわけで、美琴は俺のことを気にせず\n撮影に臨んでほしい,所以，美琴你不用担心我\n专心拍摄就好
2025012020200,美琴,……うん\nありがとう,……嗯\n谢谢
2025012020210,美琴,……おかしい,……好奇怪
2025012020220,美琴,何か変わった？,发生什么事了吗？
0000000000000,プロデューサー,いや……,不……
0000000000000,プロデューサー,なんか、寒くなってきたような……,感觉，好像又变冷了……
2025012020230,美琴,せっかく温まったのにね,好不容易暖和起来了呢
0000000000000,プロデューサー,自己暗示、失敗だな……,自我暗示，失败了啊……
info,produce_events/202501202.json,,
译者,gpt-4o-2024-05-13,,
