id,name,text,trans
0000000000000,プロデューサー,（『まみちゃ』スペシャル回……\nみんなが選んだロケ場所は────）,（“摩美美chat”特别篇……\n大家选的外景地是────）
4001079070010,摩美々,『田中摩美々の』,《田中摩美美的》
4001079070011,一同,『まみみchat』！,《摩美美chat》！
4001079070020,摩美々,今回はスペシャル回ということで\nアンティーカ全員でお届けしますー,这次是特别篇哦\n由L'Antica全员送上
4001079070030,摩美々,私たちが今どこに来てるかと言うとー……,我们现在在哪里呢……
4001079070040,咲耶,ロケ場所、どこががいいか考えてみたのだけれど\n思い出の場所があり過ぎて──,想了想外景地哪里好\n回忆的地方实在太多了──
4001079070050,霧子,うん……,嗯……
4001079070060,結華,そうだよねぇ……,对啊……
4001079070070,恋鐘,ん～……,嗯～……
4001079070080,摩美々,まぁ、ひとつに絞らなくてもいいと思うケドー,嘛，我觉得也不必非得只选一个啦
4001079070090,恋鐘,そいやったら……,那样的话……
4001079070100,恋鐘,うちらの出会った街ば巡るっていうのはどがん～？\nそこが一番、思い出が詰まっとる気のするばい,我们去巡我们初次相遇的街道怎么样～？\n那里充满了我们的回忆
4001079070110,摩美々,──とある駅前に来てまぁす,──来到了某个车站前
4001079070120,恋鐘,ここは、うちらの出会った街ばい～！,这里是我们相遇的街道～！
4001079070130,結華,思い出が詰まったこの街を、みんなで巡っちゃいまーす！,让我们一起巡这充满回忆的街道吧！
4001079070140,霧子,ふふ……楽しみだね……,呵呵……好期待啊……
4001079070150,咲耶,ああ\nそれでは、アンティーカの思い出巡りの旅──,嗯\n那么，L'Antica的回忆巡礼之旅──
4001079070151,一同,スタート～！,开始～！
4001079070160,摩美々,はじめてこの街に来た時のこと\n覚えてるー？,还记得第一次来到这座城市的时候吗？
4001079070170,恋鐘,うん～！\nもちろん覚えとるばい！,嗯～！\n当然记得啦！
4001079070180,恋鐘,事務所にオーディションば受けに来て\n合格ばもらって、ば～り嬉しかったばい！,来事务所参加面试\n通过了，超级开心！
4001079070190,結華,ちなみにこがたんときりりんがオーディションで、\nまみみんとさくやんと三峰がスカウトでーす,顺便一提，小恋和小霧是通过面试，\n摩美美、咲耶和三峰是被发掘的
4001079070200,咲耶,別々の場所から、たまたまこの５人が集まって\nユニットを組むことになったと思うと────,从不同的地方，偶然聚集了这五个人\n组成了一个组合────
4001079070210,咲耶,運命を感じずにはいられないね\nいや、必然だったのかもしれない,不禁感受到命运的安排\n也许这就是必然
4001079070220,咲耶,私たちは、一緒になるべくしてなった\nそう思うよ,我们是注定要在一起的\n我这么认为
4001079070230,霧子,わ……,哇……
4001079070240,霧子,恋鐘ちゃんの髪……\nいい香り……,恋鐘的头发……\n好香……
4001079070250,恋鐘,ふぇ？,哎？
4001079070260,摩美々,あぁ、ヘアフレグランスー？,啊，是头发香氛吧？
4001079070270,恋鐘,うん～！\nうちらが前にCMさせてもろうたやつ！,嗯～！\n是我们之前拍过广告的那个！
