id,name,text,trans
3004020020010,恋鐘,夏といえば～～\nスイカ割り～～～！,说到夏天～～\n就是西瓜打破～～～！
3004020020020,摩美々,てゆーか……\n普通に切って食べたほうがいいと思うんだケドー,可是说真的……\n我觉得直接切开吃更好啊
3004020020030,恋鐘,摩美々～！\nみんなで割って食べるスイカもまたうまかよ～,摩美美～！\n大家一起打破西瓜吃也很好吃哦～
3004020020040,咲耶,なかなか機会もないし\n私もやってみたいな,机会也不多\n我也想试试
3004020020050,結華,やるってことでいいかな！？\n三峰トップバッターいきたーい！,那就决定要做了！？\n三峰要当第一个！
3004020020060,霧子,結華ちゃん……\n頑張って……,结华……\n加油……
3004020020070,恋鐘,結華～\nそのまままっすぐばい～～,结华～\n就这样一直往前走～
3004020020080,咲耶,もう３歩かな？\nスイカはその先だよ,再走三步吧？\n西瓜就在前面
3004020020090,結華,オッケー……\n１、２、３……と……この辺……？,好的……\n一、二、三……就在这附近……？
3004020020100,咲耶,うん、そこでどうだろう？,嗯，就在那里怎么样？
3004020020110,摩美々,や、もう１歩先だと思うケドー,嗯，我觉得再往前一步
3004020020120,恋鐘,おっと～、摩美々から異議ありばい,哦～，摩美美提出了异议
3004020020130,咲耶,そ、そうかな？\n結華が棒を振り下ろす角度にもよるけれど,是、是吗？\n不过这也取决于结华挥棒的角度
3004020020140,咲耶,振り下ろす時は力が入るから\n半歩ほど前に踏み込むと思うんだ,挥棒的时候会用力\n所以会向前踏半步
3004020020150,摩美々,三峰は慎重だから、\nその場に振り下ろすと思うケドー,三峰很谨慎\n我觉得她会在原地挥棒
3004020020160,恋鐘,うちは、結華なら\nどこでも当ててくれる気のするばい～,我觉得，结华不管在哪都能打中～
3004020020170,結華,んん～～？　ちょっと困っちゃうぞ～～？\n誰を信じればいい～～？,嗯～～？有点困惑啊～～？\n该相信谁呢～～？
3004020020180,摩美々,だってー\nじゃー、もう１歩先でー,那就\n再往前一步
3004020020190,咲耶,いや、やっぱりそこで振り下ろしてみた方が……,不，我觉得还是在那挥棒比较好……
3004020020200,恋鐘,結華～、どーんと行ってみんね～！,结华～，大胆去试试吧～！
3004020020210,結華,えーん、きりりん助けて～！,啊，霧子帮帮我～！
3004020020220,霧子,……！\nえ、えっと……！,……！\n嗯，那个……！
3004020020230,結華,……あは、ごめん！　今の聞き方は責任重大になっちゃう\nなんにせよこの辺ってことだよね──,……啊哈哈，对不起！刚刚那样问压力太大了\n总之就在这附近对吧──
3004020020240,結華,いきます……！\nよっ──────！,我来了……！\n嘿──────！
3004020020250,恋鐘,あ～～惜しか～～,啊～～差一点～～
3004020020260,咲耶,横に外れてしまったか,偏到旁边去了
3004020020270,結華,ざんねーん……\nじゃあさくやん、三峰の分まで頼んだ！,真遗憾……\n那咲耶，你帮我打吧！
3004020020280,咲耶,ああ、任せて,嗯，交给我吧
3004020020281,一同,おー……,哦……
3004020020290,結華,さくやんにかかれば、\n目隠しして棒を持ってる姿すら……,咲耶一出马，\n就连蒙眼拿棒子的姿势都……
3004020020300,恋鐘,ば～りサマになっとるばい～～！,真是太帅了～～！
3004020020310,咲耶,フフ、目隠し姿を褒められたのは\nはじめてかもしれないな,呵呵，可能是第一次有人夸我蒙眼的样子
3004020020320,摩美々,咲耶ー、試しにその棒振りかぶってみてー？,咲耶，试着挥一下棒子？
3004020020330,咲耶,ああ……こう、かな？,嗯……这样，可以吗？
3004020020331,一同,おー……,哦……
3004020020340,摩美々,誰か写真撮っといたほうがいいんじゃないのー？,要不要有人拍张照留念？
3004020020350,霧子,ふふふ……,呵呵呵……
3004020020360,結華,他のポーズもいっとく？,要不要再摆个其他姿势？
3004020020370,咲耶,よ、喜んでくれるのは嬉しいのだけれど\nできれば、スイカの場所を教えてもらえないだろうか……,虽然很高兴你们喜欢\n但能不能告诉我西瓜的位置……
3004020020380,咲耶,なかなか難しいね\n私も外してしまったよ,真是挺难的啊\n我也没打中
3004020020390,結華,次、こがたんだっけ？,下一个是恋钟吧？
3004020020400,恋鐘,とうとううちの番やね～～！　任せとって～\nみんながスイカば食べられるように、割って見せるばい！,终于轮到我了～～！交给我吧～\n我一定会把西瓜打碎，让大家都能吃到！
3004020020410,霧子,恋鐘ちゃん……\nはい……目隠し……,恋钟……\n来……眼罩……
3004020020420,恋鐘,ありがとう、霧子,谢谢，霧子
3004020020421,恋鐘,こいで……準備完了～！,好了……准备完毕～！
3004020020430,咲耶,それじゃあ、その場で３回回って,那么，在原地转三圈
3004020020440,恋鐘,いーち……にーい……さーん！,一……二……三！
3004020020450,恋鐘,ふぇぇ～～！？\nなんもわからんばい～～！,哇～～！？\n什么都看不见～～！
3004020020460,摩美々,そりゃー、目隠ししてるからねー,那是当然的，毕竟你戴着眼罩嘛
3004020020470,結華,やってみると結構不安になるよねぇ,试了一下确实会有点不安呢
3004020020480,恋鐘,みんなどこ～～？,大家在哪里～～？
3004020020490,摩美々,こっちー,这边～
3004020020500,恋鐘,こ、こっち～……？,这，这边～……？
3004020020510,結華,ストップこがたん！\nスイカはこっちじゃないよー！,停下恋钟！\n西瓜不在那边哦！
3004020020520,恋鐘,摩美々～～、嘘ついたと～？,摩美美～～，你骗人？
3004020020530,摩美々,いや、みんなどこって聞くからぁ,哎，因为你问大家在哪嘛
3004020020540,咲耶,スイカは３時の方向に\nまっすぐかな,西瓜在三点钟方向\n直走就行
3004020020550,恋鐘,３時……こっちやね～……,三点……是这边吧～……
3004020020560,摩美々,それだと４時だからぁ,那是四点哦
3004020020570,恋鐘,ふぇ～～！？\nどっち～～～？,哇～～！？\n到底是哪边～～～？
3004020020580,結華,めっちゃ混乱してる……,她好混乱啊……
3004020020590,咲耶,フフ、気持ちはよくわかるよ,呵呵，我很理解这种感觉
3004020020600,摩美々,ここは別のアプローチの方法に\n変えたほうがいいかもねー,也许我们应该换个方法\n用其他方式试试
