id,name,text,trans
0000000000000,ニュースの音声,『──日恋町・20代女性\n道端で意識不明の状態で発見』,『──日恋町・20多岁女性\n在路边被发现时已经失去意识』
0000000000000,ニュースの音声,『今月16件目　依然原因は不明』,『这是本月第16起案件，原因依然不明』
3004021010010,コガネ,ふぇ～～～～～～～～～～～～～～！！！！！,咿～～～～～～～～～～～～～～！！！！！
3004021010020,コガネ,遅刻、遅刻ば～～～～い……！！,迟到了，迟到了～～～～！！
3004021010030,コガネ,うちの名前は月岡コガネ\n19歳のフリーター！,我的名字是月冈小金\n19岁的自由职业者！
3004021010040,コガネ,性格は、ちょっとだけドジなところもあるばってん\nポジティブってみんなからは言われとる！,性格上有点粗心大意的地方，但大家都说我很积极！
3004021010050,コガネ,今は……定食屋さんのアルバイトに遅れそうやけん\nば～りばりにダッシュ中！！,现在……因为快要迟到去定食屋打工了\n正在拼命地冲刺中！！
3004021010060,コガネ,はぁ……はぁっ…………！,哈……哈…………！
3004021010070,？？？,────ケテ,────救我
3004021010080,？？？,…………タス、ケテ…………,…………救、救我…………
3004021010090,コガネ,……！？,……！？
3004021010100,コガネ,だ、大丈夫～～～？\nどっか痛か？,你，你还好吗～～～？\n哪里痛吗？
3004021010110,？？？,み、水を…………,水……水……
3004021010120,コガネ,水！？\nえっと～～……,水！？\n呃～～……
3004021010130,コガネ,うちの水筒のお茶でもよか？,我水壶里的茶可以吗？
3004021010140,？？？,モーマンタイ……,没问题……
3004021010150,？？？,さっきはどうもー\nいやぁ、君のおかげで助かったよー,刚才真是谢谢了\n多亏了你才得救
3004021010160,マミミ,私はマミミ\n猫です,我是摩美美\n是一只猫
3004021010170,コガネ,猫……！？\nお、大きか猫ちゃんやね……,猫……！？\n好，好大的一只猫啊……
3004021010180,マミミ,……正確には、猫みたいな妖精かもー,……准确来说，可能是像猫一样的妖精
3004021010190,マミミ,悪の集団・ダークアンティーカの侵略により\n壊滅状態の祖国・ペピトーンランドを救うべく,为了拯救被邪恶组织“黑暗L'Antica”侵略\n而处于毁灭状态的祖国“佩皮顿王国”
3004021010200,マミミ,はるばる地球へとやってきましたぁ,千辛万苦来到地球
3004021010210,コガネ,……？？\nペピ……んん～～？？,……？？\n佩皮……嗯～～？？
3004021010220,マミミ,ってことで、君にこれをあげよう\n助けてくれたお礼ー,所以，我要把这个送给你\n作为救了我的谢礼
3004021010230,コガネ,こい、なんね～？,这，这是什么？
3004021010240,マミミ,見ての通り、鍵,如你所见，是钥匙
3004021010250,マミミ,──ペピトーンランドと、この星を救うねー,──能拯救佩皮顿王国和这个星球
3004021010260,コガネ,…………ふぇ？,…………咿？
3004021010270,？？？,──おやおや、人助けとは……\n実に美しいものを見てしまったな,──哎呀哎呀，救人真是……\n看到了一件美丽的事
3004021010280,マミミ,猫です,我是猫
3004021010290,？？？,これは失礼\nそれじゃあ、猫助け──かな？,真是失礼\n那么，应该说是救猫──对吧？
3004021010300,コガネ,こ、今度はばりかっこよかお姉さんの\n現れたばい……,这、这次出现的是个非常帅气的姐姐……
3004021010310,サクヤ,──私はサクヤ,──我是咲耶
3004021010320,サクヤ,そこのお嬢さん\n次は、私のことも助けてくれないかな,那边的小姐\n接下来，也能帮帮我吗？
3004021010330,コガネ,う、うちにできることやったら……！,如、如果是我能做到的事……！
3004021010340,サクヤ,フフッ\n優しいお嬢さんだね,呵呵\n真是个温柔的小姐呢
3004021010350,サクヤ,……そうだな。私は今──\nお腹が空いて仕方がないんだ,……是啊。我现在──\n饿得不行了
3004021010360,コガネ,！\nそいやったら、うちのバイト先に来んね！,！\n那样的话，来我打工的地方吧！
3004021010370,コガネ,ばりうまか料理、た～っくさん食べさせちゃる！,特别好吃的料理，会让你吃个够！
3004021010380,コガネ,ばってん、お代は必要やけど……,不过，还是需要付钱的……
3004021010390,サクヤ,────\nいいや,────\n不用
3004021010400,サクヤ,私が欲してるのは──────\nキミの心だよ,我想要的是──────\n你的心
3004021010410,マミミ,っ、こいつ────,你、这家伙────
3004021010420,サクヤ,邪魔しないでくれるかい？\n猫さん,能别打扰吗？\n猫小姐
3004021010430,サクヤ,────ッ！,────唔！
3004021010440,コガネ,ね、猫ちゃん…………！,猫、猫咪…………！
3004021010450,マミミ,痛ったぁ……,好痛……
3004021010460,マミミ,……でも、モーマンタイー,……不过，没问题
3004021010470,コガネ,よかっ────,太好────
3004021010480,コガネ,な、なんね……！？,这、这是什么……！？
3004021010490,コガネ,猫ちゃんからもらった鍵の──\n光っとる……！,猫咪给的钥匙──\n在发光……！
3004021010500,マミミ,その鍵を使って、変身してー……！,用那把钥匙，变身吧……！
3004021010510,コガネ,ふぇ……！？,哎……！？
3004021010520,コガネ,（…………？\n言葉が────）,（…………？\n言语────）
3004021010530,コガネ,（心に、浮かんでくる…………！）,（在心中，浮现出来…………！）
3004021010540,コガネ,『ラブリー・ルナリー・ドレスアップ────！』,『可爱·月光·装扮────！』
3004021010550,コガネ,恋月の乙女、ラブ・ムーン！,恋月少女，爱之月！
3004021010560,コガネ,恋ば裏切る不届者には──\nうちが天誅、下しちゃる！,对背叛爱情的无礼之徒──\n我要降下天罚！
3004021010570,サクヤ,…………！！,…………！！
3004021010580,コガネ,…………ふぇ～～～～！？,…………哎～～～～！？
3004021010590,コガネ,なんねこれ～～～～～！？！？,这是什么～～～～～！？！？
3004021010600,マミミ,ふふー、上出来じゃーん,呵呵，做得很好嘛
info,produce_events/300402101.json,,
译者,gpt-4o-2024-05-13,,
